cod_final,n1,n2,nome,n_produtos,anos_cobertos,anos_ausentes
06102,6. Panificados,6.1 Pães,Pão doce,336,5,
06103,6. Panificados,6.1 Pães,Pão francês,218,5,
06104,6. Panificados,6.1 Pães,Pão caseiro,351,5,
06201,6. Panificados,6.2 Bolos,Bolo de trigo,272,5,
06301,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito doce,563,5,
06302,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito salgado,238,5,
06303,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito não especificado,224,5,
07101,7. Carnes,7.1 Carnes bovinas de primeira,Alcatra,46,5,
07102,7. Carnes,7.1 Carnes bovinas de primeira,Carne moída,15,5,
07103,7. Carnes,7.1 Carnes bovinas de primeira,Carne não especificada,78,5,
07104,7. Carnes,7.1 Carnes bovinas de primeira,Chã-de-dentro,24,5,
07105,7. Carnes,7.1 Carnes bovinas de primeira,Contrafilé,27,5,
07106,7. Carnes,7.1 Carnes bovinas de primeira,Filé e filé mignon,26,5,
07107,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto comum,54,5,
07108,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto redondo,25,4,2002
07109,7. Carnes,7.1 Carnes bovinas de primeira,Patinho,24,5,
07201,7. Carnes,7.2 Carnes bovinas de segunda,Acém,32,5,
07203,7. Carnes,7.2 Carnes bovinas de segunda,Carne moída,26,4,2002
07204,7. Carnes,7.2 Carnes bovinas de segunda,Costela,17,5,
07205,7. Carnes,7.2 Carnes bovinas de segunda,Músculo,63,5,
07206,7. Carnes,7.2 Carnes bovinas de segunda,Pá,39,5,
07207,7. Carnes,7.2 Carnes bovinas de segunda,Peito,11,5,
07208,7. Carnes,7.2 Carnes bovinas de segunda,Outros  Capa de filé,298,5,
07401,7. Carnes,7.4 Carnes suínas com osso e sem osso,Carré,23,5,
07402,7. Carnes,7.4 Carnes suínas com osso e sem osso,Costela,23,5,
07403,7. Carnes,7.4 Carnes suínas com osso e sem osso,Lombo,34,5,
07404,7. Carnes,7.4 Carnes suínas com osso e sem osso,Pernil,9,5,
07405,7. Carnes,7.4 Carnes suínas com osso e sem osso,Porco eviscerado,32,5,
07501,7. Carnes,7.5 Carnes suínas outras,Mortadela,44,5,
07502,7. Carnes,7.5 Carnes suínas outras,Presunto,45,5,
07503,7. Carnes,7.5 Carnes suínas outras,Salsicha,50,5,
07504,7. Carnes,7.5 Carnes suínas outras,Toucinho fresco,53,5,
07506,7. Carnes,7.5 Carnes suínas outras,Outras,217,5,
07601,7. Carnes,7.6 Carnes de outros animais,Linguiça,44,5,
07602,7. Carnes,7.6 Carnes de outros animais,Outras,237,5,
08101,8. Vísceras,8.1 Vísceras,Bovina Fígado,27,5,
08102,8. Vísceras,8.1 Vísceras,Bovina Outras,169,5,
08103,8. Vísceras,8.1 Vísceras,Vísceras suínas,170,5,
08104,8. Vísceras,8.1 Vísceras,Outras vísceras,100,5,
09101,9. Pescados,9.1 Pescados de água salgada,Bacalhau,5,5,
09102,9. Pescados,9.1 Pescados de água salgada,Camarão fresco,125,5,
09103,9. Pescados,9.1 Pescados de água salgada,Corvina fresca,78,5,
09104,9. Pescados,9.1 Pescados de água salgada,Pescada em filé fresco,234,5,
09107,9. Pescados,9.1 Pescados de água salgada,Sardinha em conserva,25,5,
09108,9. Pescados,9.1 Pescados de água salgada,Sardinha fresca,138,5,
09109,9. Pescados,9.1 Pescados de água salgada,Outros,4610,5,
09201,9. Pescados,9.2 Pescados de água doce e congelados,Pescados de água doce,3128,5,
10101,10. Aves e ovos,10.1 Aves,Asa de frango,27,5,
10102,10. Aves e ovos,10.1 Aves,Carne de frango não especificada,75,5,
10103,10. Aves e ovos,10.1 Aves,Coxa de frango,30,5,
10104,10. Aves e ovos,10.1 Aves,Frango abatido (inteiro),71,5,
10105,10. Aves e ovos,10.1 Aves,Frango vivo,17,5,
10106,10. Aves e ovos,10.1 Aves,Peito de frango,27,5,
10107,10. Aves e ovos,10.1 Aves,Outras,409,5,
10201,10. Aves e ovos,10.2 Ovos,Ovo de galinha,15,5,
10202,10. Aves e ovos,10.2 Ovos,Outros,24,5,
11101,11. Laticínios,11.1 Leite e creme de leite,Creme de leite,28,5,
11102,11. Laticínios,11.1 Leite e creme de leite,Leite condensado,41,5,
11103,11. Laticínios,11.1 Leite e creme de leite,Leite de vaca fresco,69,5,
11104,11. Laticínios,11.1 Leite e creme de leite,Leite de vaca pasteurizado,59,5,
11105,11. Laticínios,11.1 Leite e creme de leite,Leite em pó integral,89,5,
11106,11. Laticínios,11.1 Leite e creme de leite,Outros,301,5,
11201,11. Laticínios,11.2 Queijos e requeijão,Queijo minas,94,5,
11202,11. Laticínios,11.2 Queijos e requeijão,Queijo mozarela,56,5,
11203,11. Laticínios,11.2 Queijos e requeijão,Queijo prato,27,5,
11204,11. Laticínios,11.2 Queijos e requeijão,Outros queijos,207,5,
11205,11. Laticínios,11.2 Queijos e requeijão,Requeijão,48,5,
11301,11. Laticínios,11.3 Outros laticínios,Iogurte,92,5,
11302,11. Laticínios,11.3 Outros laticínios,Leite fermentado,37,5,
11303,11. Laticínios,11.3 Outros laticínios,Manteiga,43,5,
11304,11. Laticínios,11.3 Outros laticínios,Outros,37,5,
12101,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Açúcar cristal,31,5,
12102,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Açúcar refinado,52,5,
12103,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Outros,183,5,
12201,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Doce a base de leite,262,5,
12202,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Doce de fruta,386,5,
12203,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Sorvete,104,5,
12204,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Outros,922,5,
12301,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Chocolate em pó,86,5,
12302,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Outros,192,5,
13101,13. Sais e condimentos,13.1 Sais,Sal grosso,15,5,
13102,13. Sais e condimentos,13.1 Sais,Sal refinado,23,5,
13103,13. Sais e condimentos,13.1 Sais,Outros,27,5,
13201,13. Sais e condimentos,13.2 Condimentos,Caldo de carne em tablete,7,5,
13202,13. Sais e condimentos,13.2 Condimentos,Caldo de galinha em tablete,5,5,
13203,13. Sais e condimentos,13.2 Condimentos,Fermento,12,5,
13204,13. Sais e condimentos,13.2 Condimentos,Maionese,35,5,
13205,13. Sais e condimentos,13.2 Condimentos,Massa de tomate,20,5,
13206,13. Sais e condimentos,13.2 Condimentos,Molho de tomate,45,5,
13207,13. Sais e condimentos,13.2 Condimentos,Tempero misto,94,5,
13208,13. Sais e condimentos,13.2 Condimentos,Vinagre de álcool,15,5,
13209,13. Sais e condimentos,13.2 Condimentos,Vinagre de vinho,9,5,
13210,13. Sais e condimentos,13.2 Condimentos,Outros,707,5,
14101,14. Óleos e gorduras,14.1 Óleos,Azeite de oliva,35,5,
14102,14. Óleos e gorduras,14.1 Óleos,Óleo de milho,5,5,
14103,14. Óleos e gorduras,14.1 Óleos,Óleo de soja,7,5,
14104,14. Óleos e gorduras,14.1 Óleos,Óleo não especificado,164,5,
14201,14. Óleos e gorduras,14.2 Gorduras,Margarina vegetal,84,5,
14202,14. Óleos e gorduras,14.2 Gorduras,Outras,57,5,
15101,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Outras aguardentes,93,5,
15102,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Cerveja,74,5,
15103,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Vinho,98,4,1995
15104,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Outras,171,5,
15201,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Água mineral,89,5,
15202,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de cola,78,5,
15203,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de guaraná,55,5,
15204,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de laranja,71,5,
15205,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de limão,79,5,
15206,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Outros refrigerantes,452,5,
15207,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Suco de fruta em pó,82,5,
15208,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Suco de fruta envasado,231,5,
15209,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Outras,105,5,
15301,15. Bebidas e infusões,15.3 Cafés,Café moído,27,5,
15302,15. Bebidas e infusões,15.3 Cafés,Café solúvel,42,5,
15303,15. Bebidas e infusões,15.3 Cafés,Outros,14,5,
15401,15. Bebidas e infusões,15.4 Chás,Chá-mate,50,5,
15402,15. Bebidas e infusões,15.4 Chás,Outros,258,5,
16101,16. Outros produtos,16.1 Outros produtos,Frango assado ou defumado,5,2,"2002, 2008, 2017"
16102,16. Outros produtos,16.1 Outros produtos,Massa,15,4,2017
16103,16. Outros produtos,16.1 Outros produtos,Outros produtos,311,5,
16104,16. Outros produtos,16.1 Outros produtos,Refeição,1414,5,
16105,16. Outros produtos,16.1 Outros produtos,Salgadinho,238,5,
16106,16. Outros produtos,16.1 Outros produtos,Mistura para bolo,30,5,
31001,Servicos_e_taxas,Servicos_e_taxas,Aluguel,35,5,
31002,Servicos_e_taxas,Servicos_e_taxas,Energia eletrica,7,5,
31003,Servicos_e_taxas,Servicos_e_taxas,Telefone fixo,18,5,
31004,Servicos_e_taxas,Servicos_e_taxas,Telefone celular,11,4,1987
31005,Servicos_e_taxas,Servicos_e_taxas,Gas domestico,19,5,
31006,Servicos_e_taxas,Servicos_e_taxas,Agua e esgoto,6,5,
31007,Servicos_e_taxas,Servicos_e_taxas,Outros servicos etc,278,5,
32001,Habitacao,Habitacao,Manutencao do lar,935,5,
32002,Habitacao,Habitacao,Artigos de limpeza,733,5,
32003,Habitacao,Habitacao,Mobiliarios e artigos do lar,2876,5,
32004,Habitacao,Habitacao,Eletrodomesticos,938,5,
32005,Habitacao,Habitacao,Consertos de artigos do lar,595,5,
33001,Vestuario,Vestuario,Roupa de homem,290,5,
33002,Vestuario,Vestuario,Roupa de mulher,430,5,
33003,Vestuario,Vestuario,Roupa de crianca,435,5,
33004,Vestuario,Vestuario,Calcados e apetrechos,353,5,
33005,Vestuario,Vestuario,Joias e bijuterias,98,5,
33006,Vestuario,Vestuario,Tecidos e armarinhos,211,5,
