ano,cod_final,nome_final,descri_item,codigo,quadro,decisao,onda,motivo
1987,42002,Imovel reforma,SABONETEIRA (NÃO PLASTICA),1002,10,,,
1987,42002,Imovel reforma,VASO SANITARIO,1002,10,,,
1987,42002,Imovel reforma,JANELA E PORTA,1003,10,,,
1987,42002,Imovel reforma,PORTA,1003,10,,,
1987,42002,Imovel reforma,MADEIRA E TACO,1004,10,,,
1987,42002,Imovel reforma,TACO,1004,10,,,
1987,42002,Imovel reforma,CIMENTO,1005,10,,,
1987,42002,Imovel reforma,CIMENTO BRANCO,1005,10,,,
1987,42002,Imovel reforma,TIJOLO,1006,10,,,
1987,42002,Imovel reforma,VIDRO,1007,10,,,
1987,42002,Imovel reforma,TINTA,1008,10,,,
1987,42002,Imovel reforma,CAL,1009,10,,,
1987,42002,Imovel reforma,CAL VIRGEM,1009,10,,,
1987,42002,Imovel reforma,LIXA PARA MADEIRA,1009,10,,,
1987,42002,Imovel reforma,MASSA CORRIDA PARA PAREDE,1009,10,,,
1987,42002,Imovel reforma,MATERIAL DE PINTURA EM GERAL,1009,10,,,
1987,42002,Imovel reforma,ROLO PARA PINTURA,1009,10,,,
1987,42002,Imovel reforma,CANO,1010,10,,,
1987,42002,Imovel reforma,MATERIAL HIDRAULICO,1010,10,,,
1987,42002,Imovel reforma,"TORNEIRA,CANO E MATERIAL HIDRAULICO EM GERAL",1010,10,,,
1987,42002,Imovel reforma,ARAME,1011,10,,,
1987,42002,Imovel reforma,CADEADO,1011,10,,,
1987,42002,Imovel reforma,FECHADURA,1011,10,,,
1987,42002,Imovel reforma,"FERRAGENS (FECHADURA, FERRO, ARAME, PREGO, ETC.)",1011,10,,,
1987,42002,Imovel reforma,FERRO,1011,10,,,
1987,42002,Imovel reforma,PREGO,1011,10,,,
1987,42002,Imovel reforma,"RALO (ESGOTO, BANHEIRO, ETC.)",1011,10,,,
1987,42002,Imovel reforma,TELA DE ARAME,1011,10,,,
1987,42002,Imovel reforma,TRILHO METALICO,1011,10,,,
1987,42002,Imovel reforma,FIO PARA INSTALÇÃO ELETRICA,1012,10,,,
1987,42002,Imovel reforma,FIOS E MATERIAL ELETRICO EM GERAL,1012,10,,,
1987,42002,Imovel reforma,MATERIAL ELETRICO PARA INSTALAÇÃO,1012,10,,,
1987,42002,Imovel reforma,ELETRICISTA,1013,10,,,
1987,42002,Imovel reforma,MARCENEIRO,1013,10,,,
1987,42002,Imovel reforma,"MÃO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, ETC.)",1013,10,,,
1987,42002,Imovel reforma,PEDREIRO,1013,10,,,
1987,42002,Imovel reforma,"DEDETIZAÇÃO, DESRATIZAÇÃO, ETC.",1014,10,,,
1987,42002,Imovel reforma,DESRATIZAÇÃO,1014,10,,,
1987,42002,Imovel reforma,POLIURETANO,1015,10,,,
1987,42002,Imovel reforma,SINTECO,1015,10,,,
1987,42002,Imovel reforma,"VITRIFICAÇÃO (SINTECO, POLIURETANO, ETC.)",1015,10,,,
1987,42002,Imovel reforma,CONSTRUÇÃO POR EMPREITADA,1016,10,,,
1987,42002,Imovel reforma,EMPREITADA,1016,10,,,
1987,42002,Imovel reforma,EMPREITEIRO,1016,10,,,
1987,42002,Imovel reforma,OBRA POR EMPREITADA,1016,10,,,
1987,42002,Imovel reforma,REFORMAS OU OBRAS POR EMPREITADA,1016,10,,,
1987,42002,Imovel reforma,DESEMBARAÇO DE DOCUMENTAÇÃO PARA OBRA,1017,10,,,
1987,42002,Imovel reforma,"LICENÇA PARA OBRAS,PLANTA E DESEMBARAÇO DE DOCUMENTAÇÃO",1017,10,,,
1987,42002,Imovel reforma,PLANTA PARA OBRA,1017,10,,,
1987,42002,Imovel reforma,"ARTIGOS DE JARDINAGEM (PLANTAS, TERRA, SEMENTES, XAXIM, VASO, SUPORTE PARA PLANTA, ETC.)",1018,10,,,
1987,42002,Imovel reforma,PLANTAS NATURAIS,1018,10,,,
1987,42002,Imovel reforma,PODÃO,1018,10,,,
1987,42002,Imovel reforma,SEMENTES,1018,10,,,
1987,42002,Imovel reforma,SUPORTE PARA PLANTA,1018,10,,,
1987,42002,Imovel reforma,TERRA VEGETAL,1018,10,,,
1987,42002,Imovel reforma,TESOURA PODADEIRA,1018,10,,,
1987,42002,Imovel reforma,VASO PARA PLANTA,1018,10,,,
1987,42002,Imovel reforma,XAXIM,1018,10,,,
1987,42002,Imovel reforma,CARRETO DE MATERIAL DE CONSTRUÇÃO,1019,10,,,
1987,42002,Imovel reforma,FRETE DE MATERIAL DE CONSTRUÇÃO,1019,10,,,
1987,42002,Imovel reforma,CAIXA PARA CORREIO,1020,10,,,
1987,42002,Imovel reforma,CAIXA PARA CORRESPONDENCIA,1020,10,,,
1987,42002,Imovel reforma,LAGE PRE-MOLDADA,1021,10,,,
1987,42002,Imovel reforma,AREIA,1022,10,,,
1987,42002,Imovel reforma,ARENOSO,1022,10,,,
1987,42002,Imovel reforma,ATERRO,1022,10,,,
1987,42002,Imovel reforma,BARRO,1022,10,,,
1987,42002,Imovel reforma,CAULIM,1022,10,,,
1987,42002,Imovel reforma,SAIBRO,1022,10,,,
1987,42002,Imovel reforma,TERRA,1022,10,,,
1987,42002,Imovel reforma,BRITA,1023,10,,,
1987,42002,Imovel reforma,PEDRA BRITADA,1023,10,,,
1987,42002,Imovel reforma,PEDRA MARROADA,1023,10,,,
1987,42002,Imovel reforma,PEDRA PARA ALICERCE,1023,10,,,
1987,42002,Imovel reforma,PO DE PEDRA,1023,10,,,
1987,42002,Imovel reforma,PORTÃO,1024,10,,,
1987,42002,Imovel reforma,INPS PARA OBRA,1025,10,,,
1987,42002,Imovel reforma,BASCULANTE,1026,10,,,
1987,42002,Imovel reforma,COLA (EXCETO DUREPOX),1027,10,,,
1987,42002,Imovel reforma,ARGAMASSA,1028,10,,,
1987,42002,Imovel reforma,"TELHAS (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.)",1029,10,,,
1987,42002,Imovel reforma,PARAPEITO DE JANELA DE QUALQUER MATERIAL,1030,10,,,
1987,42002,Imovel reforma,SOLEIRA DE QUALQUER MATERIAL,1030,10,,,
1987,42002,Imovel reforma,SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL,1030,10,,,
1987,42002,Imovel reforma,BALCÃO DE MARMORE PARA PIA,1031,10,,,
1987,42002,Imovel reforma,MARMORE (PEDRA),1031,10,,,
1987,42002,Imovel reforma,PEDRA MARMORE,1031,10,,,
1987,42002,Imovel reforma,CAIXA D'AGUA,1032,10,,,
1987,42002,Imovel reforma,TAMPA PARA CAIXA D'AGUA,1032,10,,,
1987,42002,Imovel reforma,GRADE DE FERRO,1033,10,,,
1987,42002,Imovel reforma,BLOCKET (BLOCO DE CIMENTO),1034,10,,,
1987,42002,Imovel reforma,BLOCO DE CIMENTO,1034,10,,,
1987,42002,Imovel reforma,BOX PARA BANHEIRO,1035,10,,,
1987,42002,Imovel reforma,TANQUE,1036,10,,,
1987,42002,Imovel reforma,PORTAL,1037,10,,,
1987,42002,Imovel reforma,CAIXA DE LUZ (PADRÃO),1038,10,,,
1987,42002,Imovel reforma,CAIXA DE DESCARGA,1039,10,,,
1987,42002,Imovel reforma,GESSO PARA CONSTRUÇÃO E REFORMA,1040,10,,,
1987,42002,Imovel reforma,ESPELHO PARA BANHEIRO,1041,10,,,
1987,42002,Imovel reforma,MANILHA,1042,10,,,
1987,42002,Imovel reforma,ANEL DE CIMENTO OU CONCRETO,1043,10,,,
1987,42002,Imovel reforma,"PLACA, ANEL, VIGA, ETC. DE CIMENTO OU CONCRETO",1043,10,,,
1987,42002,Imovel reforma,VIGA DE CIMENTO,1043,10,,,
1987,42002,Imovel reforma,CAIXA DE REGISTRO D'AGUA,1044,10,,,
1987,42002,Imovel reforma,MATERIAL PLASTICO PARA COBERTURA,1045,10,,,
1987,42002,Imovel reforma,PLASTICO (MATERIAL PARA COBERTURA),1045,10,,,
1987,42002,Imovel reforma,TOLDO PLASTICO,1045,10,,,
