cod_final,n1,n2,nome,qualidade,n_produtos,anos_cobertos,anos_ausentes,nota,dominio
26104,26. Despesas diversas,26.1 Despesas diversas,Serviços profissionais e cartório,Média,131,4,2017,Ausente em 2017; verificar se incorporado a outras despesas,naoalim
26105,26. Despesas diversas,26.1 Despesas diversas,Imóveis de uso ocasional,Alta,183,5,,,naoalim
26106,26. Despesas diversas,26.1 Despesas diversas,Outras despesas diversas,Alta,601,5,,,naoalim
27101,27. Outras despesas correntes,27.1 Obrigações fiscais e trabalhistas,Impostos e taxas,Média,249,4,1987,Ausente em 1987; quadro de impostos adicionado nas POFs posteriores,naoalim
27102,27. Outras despesas correntes,27.1 Obrigações fiscais e trabalhistas,Contribuições trabalhistas (INSS/FGTS),Alta,166,5,,,naoalim
27201,27. Outras despesas correntes,27.2 Encargos financeiros,Serviços bancários e juros,Alta,95,5,,,naoalim
27202,27. Outras despesas correntes,27.2 Encargos financeiros,Previdência privada,Alta,16,5,,,naoalim
27203,27. Outras despesas correntes,27.2 Encargos financeiros,Outras despesas correntes,Alta,309,5,,,naoalim
27301,27. Outras despesas correntes,27.3 Transferências pagas,"Pensões, mesadas e doações pagas",Alta,103,5,,,naoalim
28101,28. Aumento do ativo,28.1 Imóveis,Aquisição de imóvel,Alta,73,5,,,naoalim
28102,28. Aumento do ativo,28.1 Imóveis,Reforma de imóvel,Alta,772,5,,,naoalim
28201,28. Aumento do ativo,28.2 Outros investimentos,Outros investimentos,Média,32,4,2017,Ausente em 2017; verificar se incorporado a outra categoria,naoalim
29101,29. Diminuição do passivo,29.1 Amortizações,Empréstimos e parcelamentos,Alta,36,5,,,naoalim
29102,29. Diminuição do passivo,29.1 Amortizações,Prestação de imóvel,Alta,13,5,,,naoalim
30101,30. Rendimentos do trabalho,30.1 Trabalho remunerado,Rendimento de empregado,Alta,109,5,,,naoalim
30102,30. Rendimentos do trabalho,30.1 Trabalho remunerado,Rendimento de empregador,Média,7,4,1995,Ausente em 1995; verificar se estava em conta própria,naoalim
30103,30. Rendimentos do trabalho,30.1 Trabalho remunerado,Rendimento de conta própria,Alta,6,5,,,naoalim
30201,30. Rendimentos do trabalho,30.2 Trabalho não remunerado,Trabalho não remunerado,Média (ausência histórica esperada),8,3,"1987, 1995",Ausente em 1987 e 1995; categoria introduzida nas POFs mais recentes,naoalim
31101,31. Transferências recebidas,31.1 Previdência,Aposentadoria e pensão previdência pública,Alta,32,5,,,naoalim
31102,31. Transferências recebidas,31.1 Previdência,Aposentadoria previdência privada,Alta,18,5,,,naoalim
31201,31. Transferências recebidas,31.2 Outras transferências,Bolsa de estudo e auxílios,Média,4,4,2008,Ausente em 2002; verificar,naoalim
31202,31. Transferências recebidas,31.2 Outras transferências,"Pensão, doação e mesada recebidas",Alta,16,5,,,naoalim
31203,31. Transferências recebidas,31.2 Outras transferências,Transferências e receitas transitórias,Alta,127,5,,,naoalim
32101,32. Rendimentos de aluguel,32.1 Aluguéis recebidos,Aluguel de bens imóveis,Alta,14,5,,,naoalim
32102,32. Rendimentos de aluguel,32.1 Aluguéis recebidos,Aluguel de bens móveis,"Baixa (categoria nova, ausência histórica esperada)",4,2,"1987, 1995, 2008",Ausente em 1987 e 1995; categoria mais recente,naoalim
33101,33. Outros rendimentos,33.1 Transações esporádicas,Vendas esporádicas,Média,114,4,1987,Ausente em 1987; verificar,naoalim
33102,33. Outros rendimentos,33.1 Transações esporádicas,Empréstimos recebidos,Média,13,4,1987,Ausente em 1987; verificar,naoalim
33201,33. Outros rendimentos,33.2 Rendimentos financeiros,Aplicações e resgates financeiros,Alta,72,5,,,naoalim
33202,33. Outros rendimentos,33.2 Rendimentos financeiros,Outros rendimentos,Alta,248,5,,,naoalim
34101,34. Inventário,34.1 Inventário de bens duráveis,Inventário de bens duráveis,Alta,194,5,,,naoalim
