cod_final,n1,n2,nome,qualidade,n_produtos,anos_cobertos,anos_ausentes,nota,dominio
04104,"4. Cocos, castanhas e nozes",4.1 Cocos,Outros,Alta,432,5,,,food
05101,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha de mandioca,Alta,128,5,,,food
05102,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha de rosca,Alta,5,5,,,food
05103,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha de trigo,Alta,29,5,,,food
05104,"5. Farinhas, féculas e massas",5.1 Farinhas,Farinha vitaminada,Alta,66,5,,,food
05105,"5. Farinhas, féculas e massas",5.1 Farinhas,Outras,Alta,126,5,,,food
05201,"5. Farinhas, féculas e massas",5.2 Féculas,Amido de milho,Alta,26,5,,,food
05202,"5. Farinhas, féculas e massas",5.2 Féculas,Fubá de milho,Alta,62,5,,,food
05203,"5. Farinhas, féculas e massas",5.2 Féculas,Fécula de mandioca,Baixa,33,3,"2008, 2017","Ausente em 2008, 2017; verificar se incorporado a outra categoria",food
05204,"5. Farinhas, féculas e massas",5.2 Féculas,Flocos de milho,Alta,20,5,,,food
05206,"5. Farinhas, féculas e massas",5.2 Féculas,Flocos de cereal,Alta,95,5,,,food
05301,"5. Farinhas, féculas e massas",5.3 Massas,Macarrão com ovos,Alta,223,5,,,food
05302,"5. Farinhas, féculas e massas",5.3 Massas,Massa de pastel,Alta,17,5,,,food
05303,"5. Farinhas, féculas e massas",5.3 Massas,Massa de pizza,Alta,143,5,,,food
06101,6. Panificados,6.1 Pães,Pão de forma industrializado,Alta,145,5,,,food
06102,6. Panificados,6.1 Pães,Pão doce,Alta,336,5,,,food
06103,6. Panificados,6.1 Pães,Pão francês,Alta,218,5,,,food
06104,6. Panificados,6.1 Pães,Pão caseiro,Alta,351,5,,,food
06201,6. Panificados,6.2 Bolos,Bolo de trigo,Alta,272,5,,,food
06301,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito doce,Alta,563,5,,,food
06302,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito salgado,Alta,238,5,,,food
06303,6. Panificados,"6.3 Biscoitos, roscas, etc.",Biscoito não especificado,Alta,224,5,,,food
07101,7. Carnes,7.1 Carnes bovinas de primeira,Alcatra,Alta,46,5,,,food
07102,7. Carnes,7.1 Carnes bovinas de primeira,Carne moída,Alta,15,5,,,food
07103,7. Carnes,7.1 Carnes bovinas de primeira,Carne não especificada,Alta,78,5,,,food
07104,7. Carnes,7.1 Carnes bovinas de primeira,Chã-de-dentro,Alta,24,5,,,food
07105,7. Carnes,7.1 Carnes bovinas de primeira,Contrafilé,Alta,27,5,,,food
07106,7. Carnes,7.1 Carnes bovinas de primeira,Filé e filé mignon,Alta,26,5,,,food
07107,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto comum,Alta,54,5,,,food
07108,7. Carnes,7.1 Carnes bovinas de primeira,Lagarto redondo,Média,25,4,2002,Ausente em 2002; verificar se incorporado a outra categoria,food
07109,7. Carnes,7.1 Carnes bovinas de primeira,Patinho,Alta,24,5,,,food
07201,7. Carnes,7.2 Carnes bovinas de segunda,Acém,Alta,32,5,,,food
07203,7. Carnes,7.2 Carnes bovinas de segunda,Carne moída,Média,26,4,2002,Ausente em 2002; verificar se incorporado a outra categoria,food
07204,7. Carnes,7.2 Carnes bovinas de segunda,Costela,Alta,17,5,,,food
07205,7. Carnes,7.2 Carnes bovinas de segunda,Músculo,Alta,63,5,,,food
07206,7. Carnes,7.2 Carnes bovinas de segunda,Pá,Alta,39,5,,,food
07207,7. Carnes,7.2 Carnes bovinas de segunda,Peito,Alta,11,5,,,food
07208,7. Carnes,7.2 Carnes bovinas de segunda,Outros  Capa de filé,Alta,298,5,,,food
07401,7. Carnes,7.4 Carnes suínas com osso e sem osso,Carré,Alta,23,5,,,food
07402,7. Carnes,7.4 Carnes suínas com osso e sem osso,Costela,Alta,23,5,,,food
07403,7. Carnes,7.4 Carnes suínas com osso e sem osso,Lombo,Alta,34,5,,,food
07404,7. Carnes,7.4 Carnes suínas com osso e sem osso,Pernil,Alta,9,5,,,food
07405,7. Carnes,7.4 Carnes suínas com osso e sem osso,Porco eviscerado,Alta,32,5,,,food
07501,7. Carnes,7.5 Carnes suínas outras,Mortadela,Alta,44,5,,,food
07502,7. Carnes,7.5 Carnes suínas outras,Presunto,Alta,45,5,,,food
07503,7. Carnes,7.5 Carnes suínas outras,Salsicha,Alta,50,5,,,food
07504,7. Carnes,7.5 Carnes suínas outras,Toucinho fresco,Alta,53,5,,,food
07506,7. Carnes,7.5 Carnes suínas outras,Outras,Alta,217,5,,,food
07601,7. Carnes,7.6 Carnes de outros animais,Linguiça,Alta,44,5,,,food
07602,7. Carnes,7.6 Carnes de outros animais,Outras,Alta,237,5,,,food
08101,8. Vísceras,8.1 Vísceras,Bovina Fígado,Alta,27,5,,,food
08102,8. Vísceras,8.1 Vísceras,Bovina Outras,Alta,169,5,,,food
08103,8. Vísceras,8.1 Vísceras,Vísceras suínas,Alta,170,5,,,food
08104,8. Vísceras,8.1 Vísceras,Outras vísceras,Alta,100,5,,,food
09101,9. Pescados,9.1 Peixes de água salgada (marinhos),Bacalhau,Alta,5,5,,,pescados
09102,9. Pescados,9.1 Peixes de água salgada (marinhos),Sardinha fresca,Alta,103,5,,,pescados
09103,9. Pescados,9.1 Peixes de água salgada (marinhos),Sardinha em conserva,Alta,19,5,,,pescados
09104,9. Pescados,9.1 Peixes de água salgada (marinhos),Atum e bonito,Alta,115,5,,,pescados
09105,9. Pescados,9.1 Peixes de água salgada (marinhos),Pescada,Alta,173,5,,,pescados
09106,9. Pescados,9.1 Peixes de água salgada (marinhos),Corvina,Alta,81,5,,,pescados
09107,9. Pescados,9.1 Peixes de água salgada (marinhos),Cação e tubarão,Alta,137,5,,,pescados
09108,9. Pescados,9.1 Peixes de água salgada (marinhos),Outros peixes marinhos - fresco/inteiro,Baixa,3163,5,,,pescados
09109,9. Pescados,9.1 Peixes de água salgada (marinhos),Outros peixes marinhos - em filé,Média,619,5,,,pescados
09110,9. Pescados,9.1 Peixes de água salgada (marinhos),Outros peixes marinhos - em postas,Baixa,310,5,,,pescados
09111,9. Pescados,9.1 Peixes de água salgada (marinhos),Outros peixes marinhos - salgado/seco,Média,8,4,1995,Ausente em 1995; verificar se incorporado a outra categoria,pescados
09112,9. Pescados,9.1 Peixes de água salgada (marinhos),Outros peixes marinhos - em conserva,Média,62,5,,,pescados
09201,9. Pescados,9.2 Peixes de água doce,Tilápia,Alta,25,5,,,pescados
09202,9. Pescados,9.2 Peixes de água doce,Outros peixes de água doce (nominados),Média,1053,5,,,pescados
09203,9. Pescados,9.2 Peixes de água doce,Peixes de água doce - fresco/inteiro,Média,1604,5,,,pescados
09204,9. Pescados,9.2 Peixes de água doce,Peixes de água doce - filé/postas,Média,386,5,,,pescados
09205,9. Pescados,9.2 Peixes de água doce,Peixes de água doce - salgado/conserva,Média,7,4,1995,Ausente em 1995; verificar se incorporado a outra categoria,pescados
09401,9. Pescados,9.4 Crustáceos,Camarão,Alta,136,5,,,pescados
09402,9. Pescados,9.4 Crustáceos,Camarão processado,Média,5,3,"1987, 1995","Ausente em 1987, 1995; verificar se incorporado a outra categoria",pescados
09403,9. Pescados,9.4 Crustáceos,Lagosta,Alta,56,5,,,pescados
09404,9. Pescados,9.4 Crustáceos,Caranguejo e siri,Alta,88,5,,,pescados
09501,9. Pescados,9.5 Moluscos,"Ostras, mariscos e mexilhões",Alta,100,5,,,pescados
09502,9. Pescados,9.5 Moluscos,Lula e polvo,Alta,19,5,,,pescados
09601,9. Pescados,9.6 Outros pescados e preparações,Rã,Alta,69,5,,,pescados
10101,10. Aves e ovos,10.1 Aves,Asa de frango,Alta,27,5,,,food
10102,10. Aves e ovos,10.1 Aves,Carne de frango não especificada,Alta,75,5,,,food
10103,10. Aves e ovos,10.1 Aves,Coxa de frango,Alta,30,5,,,food
10104,10. Aves e ovos,10.1 Aves,Frango abatido (inteiro),Alta,71,5,,,food
10105,10. Aves e ovos,10.1 Aves,Frango vivo,Alta,17,5,,,food
10106,10. Aves e ovos,10.1 Aves,Peito de frango,Alta,27,5,,,food
10107,10. Aves e ovos,10.1 Aves,Outras,Alta,409,5,,,food
10201,10. Aves e ovos,10.2 Ovos,Ovo de galinha,Alta,15,5,,,food
10202,10. Aves e ovos,10.2 Ovos,Outros,Alta,24,5,,,food
11101,11. Laticínios,11.1 Leite e creme de leite,Creme de leite,Alta,28,5,,,food
11102,11. Laticínios,11.1 Leite e creme de leite,Leite condensado,Alta,41,5,,,food
11103,11. Laticínios,11.1 Leite e creme de leite,Leite de vaca fresco,Alta,69,5,,,food
11104,11. Laticínios,11.1 Leite e creme de leite,Leite de vaca pasteurizado,Alta,59,5,,,food
11105,11. Laticínios,11.1 Leite e creme de leite,Leite em pó integral,Alta,89,5,,,food
11106,11. Laticínios,11.1 Leite e creme de leite,Outros,Alta,301,5,,,food
11201,11. Laticínios,11.2 Queijos e requeijão,Queijo minas,Alta,94,5,,,food
11202,11. Laticínios,11.2 Queijos e requeijão,Queijo mozarela,Alta,56,5,,,food
11203,11. Laticínios,11.2 Queijos e requeijão,Queijo prato,Alta,27,5,,,food
11204,11. Laticínios,11.2 Queijos e requeijão,Outros queijos,Alta,207,5,,,food
11205,11. Laticínios,11.2 Queijos e requeijão,Requeijão,Alta,48,5,,,food
11301,11. Laticínios,11.3 Outros laticínios,Iogurte,Alta,92,5,,,food
11302,11. Laticínios,11.3 Outros laticínios,Leite fermentado,Alta,37,5,,,food
11303,11. Laticínios,11.3 Outros laticínios,Manteiga,Alta,43,5,,,food
11304,11. Laticínios,11.3 Outros laticínios,Outros,Alta,37,5,,,food
12101,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Açúcar cristal,Alta,31,5,,,food
12102,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Açúcar refinado,Alta,52,5,,,food
12103,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",Outros,Alta,183,5,,,food
12201,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Doce a base de leite,Alta,262,5,,,food
12202,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Doce de fruta,Alta,386,5,,,food
12203,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Sorvete,Alta,104,5,,,food
12204,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,Outros,Alta,922,5,,,food
12301,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Chocolate em pó,Alta,86,5,,,food
12302,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,Outros,Alta,192,5,,,food
13101,13. Sais e condimentos,13.1 Sais,Sal grosso,Alta,15,5,,,food
13102,13. Sais e condimentos,13.1 Sais,Sal refinado,Alta,23,5,,,food
13103,13. Sais e condimentos,13.1 Sais,Outros,Alta,27,5,,,food
13201,13. Sais e condimentos,13.2 Condimentos,Caldo de carne em tablete,Alta,7,5,,,food
13202,13. Sais e condimentos,13.2 Condimentos,Caldo de galinha em tablete,Alta,5,5,,,food
13203,13. Sais e condimentos,13.2 Condimentos,Fermento,Alta,12,5,,,food
13204,13. Sais e condimentos,13.2 Condimentos,Maionese,Alta,35,5,,,food
13205,13. Sais e condimentos,13.2 Condimentos,Massa de tomate,Alta,20,5,,,food
13206,13. Sais e condimentos,13.2 Condimentos,Molho de tomate,Alta,45,5,,,food
13207,13. Sais e condimentos,13.2 Condimentos,Tempero misto,Alta,94,5,,,food
13208,13. Sais e condimentos,13.2 Condimentos,Vinagre de álcool,Alta,15,5,,,food
13209,13. Sais e condimentos,13.2 Condimentos,Vinagre de vinho,Alta,9,5,,,food
13210,13. Sais e condimentos,13.2 Condimentos,Outros,Alta,707,5,,,food
14101,14. Óleos e gorduras,14.1 Óleos,Azeite de oliva,Alta,35,5,,,food
14102,14. Óleos e gorduras,14.1 Óleos,Óleo de milho,Alta,5,5,,,food
14103,14. Óleos e gorduras,14.1 Óleos,Óleo de soja,Alta,7,5,,,food
14104,14. Óleos e gorduras,14.1 Óleos,Óleo não especificado,Alta,164,5,,,food
14201,14. Óleos e gorduras,14.2 Gorduras,Margarina vegetal,Alta,84,5,,,food
