Cod_harmo,nome,nivel1,nivel2,status,criado_em,extinto_em,substituido_por,nome_original
03113,Manga,3. Frutas,3.1 Frutas de clima tropical,ativo,base,,,x.x.xx Manga
03114,Maracujá,3. Frutas,3.1 Frutas de clima tropical,ativo,base,,,x.x.xx Maracujá
03115,Melancia,3. Frutas,3.1 Frutas de clima tropical,ativo,base,,,x.x.x Melancia
03116,Melão,3. Frutas,3.1 Frutas de clima tropical,ativo,base,,,x.x.xx Melão
03117,Tangerina,3. Frutas,3.1 Frutas de clima tropical,ativo,base,,,x.x.xx Tangerina
03118,Outras; Outras laranjas; Goiaba; Acerola,3. Frutas,3.1 Frutas de clima tropical,ativo,base,,,x.x.xx Outrasx.x.xx Outras laranjasx.x.x Goiabax.x.x Acerola
03201,Caqui,3. Frutas,3.2 Frutas de clima temperado,ativo,base,,,x.x.x Caqui
03202,Maçã,3. Frutas,3.2 Frutas de clima temperado,ativo,base,,,x.x.x Maçã
03203,Pêra,3. Frutas,3.2 Frutas de clima temperado,ativo,base,,,x.x.x Pêra
03204,Uva,3. Frutas,3.2 Frutas de clima temperado,ativo,base,,,x.x.x Uva
03205,Outras; Pêssego; Morango; Ameixa,3. Frutas,3.2 Frutas de clima temperado,ativo,base,,,x.x.x Outrasx.x.x Pêssegox.x.x Morangox.x.x Ameixa
04101,Coco-açaí em pasta; Açaí (emulsão),"4. Cocos, castanhas e nozes",4.1 Cocos,ativo,base,,,x.x.x Coco-açaí em pastax.x.x Açaí (emulsão)
04103,Coco-da-baía,"4. Cocos, castanhas e nozes",4.1 Cocos,ativo,base,,,x.x.x Coco-da-baía
04104,Outros,"4. Cocos, castanhas e nozes",4.1 Cocos,ativo,base,,,x.x.x Outros
05101,Farinha de mandioca,"5. Farinhas, féculas e massas",5.1 Farinhas,ativo,base,,,x.x.x Farinha de mandioca
05102,Farinha de rosca,"5. Farinhas, féculas e massas",5.1 Farinhas,ativo,base,,,x.x.x Farinha de rosca
05103,Farinha de trigo,"5. Farinhas, féculas e massas",5.1 Farinhas,ativo,base,,,x.x.x Farinha de trigo
05104,Farinha vitaminada,"5. Farinhas, féculas e massas",5.1 Farinhas,ativo,base,,,x.x.x Farinha vitaminada
05105,Outras,"5. Farinhas, féculas e massas",5.1 Farinhas,ativo,base,,,x.x.x Outras
05201,Amido de milho,"5. Farinhas, féculas e massas",5.2 Féculas,ativo,base,,,x.x.x Amido de milho
05202,Fubá de milho; Creme de milho,"5. Farinhas, féculas e massas",5.2 Féculas,ativo,base,,,x.x.x Fubá de milho x.x.x Creme de milho
05203,Fécula de mandioca,"5. Farinhas, féculas e massas",5.2 Féculas,ativo,base,,,x.x.x Fécula de mandioca
05204,Flocos de milho,"5. Farinhas, féculas e massas",5.2 Féculas,ativo,base,,,x.x.x Flocos de milho
05206,Flocos de cereal; Flocos de aveia; Flocos de outros cereais; Outras,"5. Farinhas, féculas e massas",5.2 Féculas,ativo,base,,,x.x.x Flocos de cerealx.x.x Flocos de aveiax.x.x Flocos de outros cereaisx.x.x Outras
05301,Macarrão com ovos; Macarrão não especificado; Macarrão sem ovos,"5. Farinhas, féculas e massas",5.3 Massas,ativo,base,,,x.x.x Macarrão com ovosx.x.x Macarrão não especificadox.x.x Macarrão sem ovos
05302,Massa de pastel,"5. Farinhas, féculas e massas",5.3 Massas,ativo,base,,,x.x.x Massa de pastel
05303,Massa de pizza; Outras; Massa de lasanha,"5. Farinhas, féculas e massas",5.3 Massas,ativo,base,,,x.x.x Massa de pizzax.x.x Outrasx.x.x Massa de lasanha
06101,Pão de forma industrializado,6. Panificados,6.1 Pães,ativo,base,,,x.x.x Pão de forma industrializado
06102,Pão doce,6. Panificados,6.1 Pães,ativo,base,,,x.x.x Pão doce
06103,Pão francês,6. Panificados,6.1 Pães,ativo,base,,,x.x.x Pão francês
06104,Pão caseiro; Pão de forma de padaria; Pão de milho; Pão de queijo; Pão integral; Torrada; Outros,6. Panificados,6.1 Pães,ativo,base,,,x.x.x Pão caseirox.x.x Pão de forma de padariax.x.x Pão de milhox.x.x Pão de queijox.x.x Pão integralx.x.x Torradax.x.x Outros
06201,Bolo de trigo; Outros bolos,6. Panificados,6.2 Bolos,ativo,base,,,x.x.x Bolo de trigox.x.x Outros bolos
06301,Biscoito doce,6. Panificados,"6.3 Biscoitos, roscas, etc.",ativo,base,,,x.x.x Biscoito doce
06302,Biscoito salgado,6. Panificados,"6.3 Biscoitos, roscas, etc.",ativo,base,,,x.x.x Biscoito salgado
06303,Biscoito não especificado; Rosca doce; Rosca não especificada; Rosca salgada; Outros,6. Panificados,"6.3 Biscoitos, roscas, etc.",ativo,base,,,x.x.x Biscoito não especificadox.x.x Rosca docex.x.x Rosca não especificadax.x.x Rosca salgadax.x.x Outros
07101,Alcatra,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Alcatra
07102,Carne moída,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Carne moída
07103,Carne não especificada,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Carne não especificada
07104,Chã-de-dentro,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Chã-de-dentro
07105,Contrafilé,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Contrafilé
07106,Filé e filé mignon; Filé mignon,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Filé e filé mignonx.x.x Filé mignon
07107,Lagarto comum,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Lagarto comum
07108,Lagarto redondo,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Lagarto redondo
07109,Patinho,7. Carnes,7.1 Carnes bovinas de primeira,ativo,base,,,x.x.x Patinho
07201,Acém,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Acém
07203,Carne moída,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Carne moída
07204,Costela,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Costela
07205,Músculo,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Músculo
07206,Pá,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Pá
07207,Peito,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Peito
07208,Outros  Capa de filé; Carne não especificada; Carne de hambúrger; Carne de sol; Carne moída não especificada; Mocotó; Outras; Carne-seca,7. Carnes,7.2 Carnes bovinas de segunda,ativo,base,,,x.x.x Outros  Capa de filéx.x.x Carne não especificadax.x.x Carne de hambúrgerx.x.x Carne de solx.x.x Carne moída não especificadax.x.x Carne não especificadax.x.x Mocotóx.x.x Outras x.x.x Carne-seca
07401,Carré,7. Carnes,7.4 Carnes suínas com osso e sem osso,ativo,base,,,x.x.x Carré
07402,Costela,7. Carnes,7.4 Carnes suínas com osso e sem osso,ativo,base,,,x.x.x Costela
07403,Lombo,7. Carnes,7.4 Carnes suínas com osso e sem osso,ativo,base,,,x.x.x Lombo
07404,Pernil,7. Carnes,7.4 Carnes suínas com osso e sem osso,ativo,base,,,x.x.x Pernil
07405,Porco eviscerado; Outras,7. Carnes,7.4 Carnes suínas com osso e sem osso,ativo,base,,,x.x.x Porco evisceradox.x.x Outras
07501,Mortadela,7. Carnes,7.5 Carnes suínas outras,ativo,base,,,x.x.x Mortadela
07502,Presunto,7. Carnes,7.5 Carnes suínas outras,ativo,base,,,x.x.x Presunto
07503,Salsicha; Salsicha comum,7. Carnes,7.5 Carnes suínas outras,ativo,base,,,x.x.x Salsichax.x.x Salsicha comum
07504,Toucinho fresco; Toucinho defumado; Toucinho,7. Carnes,7.5 Carnes suínas outras,ativo,base,,,x.x.x Toucinho frescox.x.x Toucinho defumadox.x.x Toucinho
07506,Outras; Cane salgada não especificada; Costela de porco salgada; Paio; Pé de porco salgado; Salame,7. Carnes,7.5 Carnes suínas outras,ativo,base,,,x.x.xx Outrasx.x.x Cane salgada não especificadax.x.x Costela de porco salgadax.x.x Paiox.x.x Pé de porco salgadox.x.x Salame
07601,Linguiça,7. Carnes,7.6 Carnes de outros animais,ativo,base,,,x.x.x Linguiça
07602,Outras; Carne de cabrito; Carne de carneiro,7. Carnes,7.6 Carnes de outros animais,ativo,base,,,x.x.x Outrasx.x.x Carne de cabritox.x.x Carne de carneiro
08101,Bovina Fígado,8. Vísceras,8.1 Vísceras,ativo,base,,,x.x.x Bovina Fígado
08102,Bovina Outras; Bucho; Língua,8. Vísceras,8.1 Vísceras,ativo,base,,,x.x.x Bovina Outrasx.x.x Buchox.x.x Língua
08103,Vísceras suínas,8. Vísceras,8.1 Vísceras,ativo,base,,,x.x.x Vísceras suínasx.x Vísceras suínas
08104,Outras vísceras,8. Vísceras,8.1 Vísceras,ativo,base,,,x.x.x Outras víscerasx.x Outras vísceras
09101,Bacalhau,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.x Bacalhau
09102,Camarão fresco,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.x Camarão fresco
09103,Corvina fresca,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.x Corvina fresca
09104,Pescada em filé fresco,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.xx Pescada em filé fresco
09107,Sardinha em conserva,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.xx Sardinha em conserva
09108,Sardinha fresca,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.xx Sardinha fresca
09109,Outros; Anchova fresca; Bagre fresco; Cação fresco; Meluza em filé congelado; Merluza em filé fresco; Parati fresco; Pescada em filé congelado; Tainha fresca; Outros pescados em filé congelado; Outros pescados em filé fresco; Outros pescados frescos; Outros pescados salgados,9. Pescados,9.1 Pescados de água salgada,ativo,base,,,x.x.xx Outrosx.x.x Anchova frescax.x.x Bagre frescox.x.x Cação frescox.x.x Meluza em filé congeladox.x.x Merluza em filé frescox.x.x Parati frescox.x.x Pescada em filé congeladox.x.xx Tainha frescax.x.xx Outros pescados em filé congeladox.x.xx Outros pescados em filé frescox.x.xx Outros pescados frescosx.x.x Outros pescados salgados
09201,Pescados de água doce; Acará fresca; Acari fresco; Anujá fresco; Curimatã fresco; Dourada fresca; Jaraqui fresco; Lambari fresco; Mapará fresco; Piau fresco; Surubim fresco; Tambaqui fresco; Tilápia fresca; Traíra fresca; Tucunaré fresco; Outros pescados em filé congelado; Outros pescados em filé fresco; Outros pescados frescos; Outros pescados salgados; Pescados não especificados; Peixe em filé congelado; Peixe em filé fresco; Peixe fresco; Peixe salgado,9. Pescados,9.2 Pescados de água doce e congelados,ativo,base,,,x.x.x Pescados de água docex.x.x Acará frescax.x.x Acari frescox.x.x Anujá frescox.x.x Curimatã frescox.x.x Dourada frescax.x.x Jaraqui frescox.x.x Lambari frescox.x.x Mapará frescox.x.x Piau frescox.x.xx Surubim frescox.x.xx Tambaqui frescox.x.xx Tilápia frescax.x.xx Traíra frescax.x.xx Tucunaré frescox.x.xx Outros pescados em filé congeladox.x.xx Outros pescados em filé frescox.x.xx Outros pescados frescosx.x.xx Outros pescados salgadosx.x Pescados não especificadosx.x.x Peixe em filé congeladox.x.x Peixe em filé frescox.x.x Peixe frescox.x.x Peixe salgado
10101,Asa de frango; Asa de galinha,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.x Asa de frangoxx.x.x Asa de galinha
10102,Carne de frango não especificada; Carne não especificada de galinha,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.x Carne de frango não especificadaxx.x.x Carne não especificada de galinha
10103,Coxa de frango; Coxa de galinha,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.x Coxa de frangoxx.x.x Coxa de galinha
10104,Frango abatido (inteiro); Frango abatido,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.x Frango abatido (inteiro)xx.x.x Frango abatido
10105,Frango vivo,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.x Frango vivo
10106,Peito de frango; Peito de galinha,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.x Peito de frangoxx.x.x Peito de galinha
10107,Outras; Dorso de frango; Miúdos de frango; Outras carnes de frango; Pato inteiro ou em cortes; Peru abatido; Peru em cortes,10. Aves e ovos,10.1 Aves,ativo,base,,,xx.x.xx Outrasxx.x.x Dorso de frangoxx.x.x Miúdos de frangoxx.x.x Outras carnes de frangoxx.x.xx Pato inteiro ou em cortesxx.x.xx Peru abatidoxx.x.xx Peru em cortes
10201,Ovo de galinha,10. Aves e ovos,10.2 Ovos,ativo,base,,,xx.x.x Ovo de galinha
10202,Outros,10. Aves e ovos,10.2 Ovos,ativo,base,,,xx.x.x Outros
11101,Creme de leite; Creme de leite em conserva,11. Laticínios,11.1 Leite e creme de leite,ativo,base,,,xx.x.x Creme de leitexx.x.x Creme de leite em conserva
11102,Leite condensado,11. Laticínios,11.1 Leite e creme de leite,ativo,base,,,xx.x.x Leite condensado
11103,Leite de vaca fresco,11. Laticínios,11.1 Leite e creme de leite,ativo,base,,,xx.x.x Leite de vaca fresco
11104,Leite de vaca pasteurizado,11. Laticínios,11.1 Leite e creme de leite,ativo,base,,,xx.x.x Leite de vaca pasteurizado
11105,Leite em pó integral; Leite em pó desengordurado; Leite em pó não especificado,11. Laticínios,11.1 Leite e creme de leite,ativo,base,,,xx.x.x Leite em pó integralxx.x.x Leite em pó desengorduradoxx.x.x Leite em pó não especificado
11106,Outros,11. Laticínios,11.1 Leite e creme de leite,ativo,base,,,xx.x.x Outros
11201,Queijo minas,11. Laticínios,11.2 Queijos e requeijão,ativo,base,,,xx.x.x Queijo minas
11202,Queijo mozarela,11. Laticínios,11.2 Queijos e requeijão,ativo,base,,,xx.x.x Queijo mozarela
11203,Queijo prato,11. Laticínios,11.2 Queijos e requeijão,ativo,base,,,xx.x.x Queijo prato
11204,Outros queijos; Queijo não especificado; Queijo parmezão,11. Laticínios,11.2 Queijos e requeijão,ativo,base,,,xx.x.x Outros queijosxx.x.x Queijo não especificadoxx.x.x Queijo parmezão
11205,Requeijão,11. Laticínios,11.2 Queijos e requeijão,ativo,base,,,xx.x.x Requeijão
11301,Iogurte,11. Laticínios,11.3 Outros laticínios,ativo,base,,,xx.x.x Iogurte
11302,Leite fermentado,11. Laticínios,11.3 Outros laticínios,ativo,base,,,xx.x.x Leite fermentado
11303,Manteiga,11. Laticínios,11.3 Outros laticínios,ativo,base,,,xx.x.x Manteiga
11304,Outros,11. Laticínios,11.3 Outros laticínios,ativo,base,,,xx.x.x Outros
12101,Açúcar cristal,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",ativo,base,,,xx.x.x Açúcar cristal
12102,Açúcar refinado; Açúcar não especificado; Açúcar demerara,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",ativo,base,,,xx.x.x Açúcar refinadoxx.x.x Açúcar não especificadoxx.x.x Açúcar demerara
12103,Outros,12. Açúcares e produtos de confeitaria,"12.1 Açúcares, doces e produtos de confeitaria",ativo,base,,,xx.x.x Outros
12201,Doce a base de leite,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,ativo,base,,,xx.x.x Doce a base de leite
12202,Doce de fruta,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,ativo,base,,,xx.x.x Doce de fruta
12203,Sorvete,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,ativo,base,,,xx.x.x Sorvete
12204,Outros; Rapadura; Bombom; Chiclete; Chocolate em tablete,12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,ativo,base,,,xx.x.x Outrosxx.x.x Rapaduraxx.x.x Bombomxx.x.x Chicletexx.x.x Chocolate em tablete
12301,Chocolate em pó,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,ativo,base,,,xx.x.x Chocolate em pó
12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,12. Açúcares e produtos de confeitaria,12.3 Outros açucares e produtos de confeitaria,ativo,base,,,xx.x.x Outrosxx.x.x Polpa de frutaxx.x.x Gelatinaxx.x.x Mel de abelha
13101,Sal grosso,13. Sais e condimentos,13.1 Sais,ativo,base,,,xx.x.x Sal grosso
13102,Sal refinado,13. Sais e condimentos,13.1 Sais,ativo,base,,,xx.x.x Sal refinado
13103,Outros,13. Sais e condimentos,13.1 Sais,ativo,base,,,xx.x.x Outros
13201,Caldo de carne em tablete,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Caldo de carne em tablete
13202,Caldo de galinha em tablete,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Caldo de galinha em tablete
13203,Fermento,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Fermento
13204,Maionese,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Maionese
13205,Massa de tomate,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Massa de tomate
13206,Molho de tomate,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Molho de tomate
13207,Tempero misto,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.x Tempero misto
13208,Vinagre de álcool,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.xx Vinagre de álcool
13209,Vinagre de vinho,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.xx Vinagre de vinho
13210,Outros; Vinagre não especificado; Coco ralado; Outros caldos em tablete; Colorau; Leite de coco,13. Sais e condimentos,13.2 Condimentos,ativo,base,,,xx.x.xx Outrosxx.x.xx Vinagre não especificadoxx.x.x Coco raladoxx.x.x Outros caldos em tabletexx.x.x Colorauxx.x.x Leite de coco
14101,Azeite de oliva,14. Óleos e gorduras,14.1 Óleos,ativo,base,,,xx.x.x Azeite de oliva
14102,Óleo de milho,14. Óleos e gorduras,14.1 Óleos,ativo,base,,,xx.x.x Óleo de milho
14103,Óleo de soja,14. Óleos e gorduras,14.1 Óleos,ativo,base,,,xx.x.x Óleo de soja
