902,0902,"AQUISIÇÃO DO IMOVEL A PRAZO (ENTRADA, PARCELAS, TAXAS, IMPOSTOS, ETC.)",MANUTENÇÃO DE MOVEIS,0816,REFORMA OU OBRA POR EMPREITADA
902,0902,TAXAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,MANUTENÇÃO DE MOVEIS,0817,"LINCENÇA PARA OBRA, PLANTA, DESEMBARAÇO DE DOCUMENTAÇÃO"
902,0902,IMPOSTOS PARA AQUISIÇÃO DO IMOVEL A PRAZO,MANUTENÇÃO DE MOVEIS,0818,"ARTIGO DE JARDINAGEM (PLANTA, TERRA, SEMENTES, XAXIM, SUPORTE DE VASO)"
902,0902,PARCELAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,MANUTENÇÃO DE MOVEIS,0819,ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUÇÃO
902,0902,ENTRADA PARA AQUISIÇÃO DO IMOVEL A PRAZO,MANUTENÇÃO DE MOVEIS,0820,CAIXA DE CORREIO
903,0903,LOCAÇÃO DO IMOVEL,CONSERTO DE ASPIRADOR DE PÓ (PEÇA+MÃO-DE-OBRA),0821,LAJE PRE-MOLDADA
903,0903,CONTRATO DE LOCAÇÃO DO IMOVEL,CONSERTO DE ASPIRADOR DE PÓ (PEÇA+MÃO-DE-OBRA),0822,"AREIA, TERRA, BARRO, SAIBRO, CASCALHO, ETC."
903,0903,DEPOSITOS DE LOCAÇÃO DO IMOVEL,CONSERTO DE ASPIRADOR DE PÓ (PEÇA+MÃO-DE-OBRA),0823,"PEDRA (BRITADA, MARROADA, PARALELEPÍPEDO, EM PÓ, ETC.)"
903,0903,DEPOSITOS DE CONSERVAÇÃO DO IMOVEL,CONSERTO DE ASPIRADOR DE PÓ (PEÇA+MÃO-DE-OBRA),0824,PORTÃO
904,0904,MUDANÇA,,0825,INPS DE OBRA
905,0905,"SEGUROS SOBRE O IMOVEL (INCENDIO, ROUBO, ETC.)",,0826,BASCULANTE
905,0905,SEGURO CONTRA ROUBO DO IMOVEL,,0827,COLA (EXCETO DUREPOX)
905,0905,SEGURO CONTRA INCENDIO DO IMOVEL,,0828,ARGAMASSA
906,0906,"TAXAS (COLETA DE LIXO, PREVENÇÃO E EXTINÇÃO DE INCENDIO, SEGURANÇA, ETC.)",MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0829,"TELHA (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.)"
906,0906,TAXA DE COLETA DE LIXO,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0830,SOLEIRA E PARAPEITO DE JANELA DE QUALQUER.MATERIAL
906,0906,TAXA DE PREVENÇÃO E EXTINÇÃO DE INCENDIO,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0831,PEDRA MÁRMORE PARA PIA
906,0906,TAXA DE SEGURANÇA,MANUTENÇÃO DE APARELHOS DOMÉSTICOS,0832,CAIXA DÀGUA DE QUALQUER MATERIAL
