7,700101,GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO),.,6,,01401,601401,601401,6014,"TELEFONE FIXO, INTERNET E TV POR ASSINATURA (PACOTE)","PACOTE COM TELEFONE FIXO, CELULAR E TV POR ASSINATURA",700102,GAS DE BUJAO (COMBUSTIVEL DOMESTICO),,7001,11008,11004,11004
7,700102,GAS DE BUJAO (COMBUSTIVEL DOMESTICO),.,6,,01501,601501,601501,6015,TELEFONE FIXO E TV POR ASSINATURA (PACOTE),"PACOTE COM TELEFONE FIXO, INTERNET E TV POR ASSINATURA",700201,AGUA PARA USO GERAL,,7002,11009,11005,11005
7,700201,AGUA PARA USO GERAL,.,6,,99901,699901,699901,6999,AGREGADO,AGREGADO,700202,PIPA DE AGUA,,7002,11010,11006,11006
7,700202,PIPA DE AGUA,.,7,,00101,700101,700101,7001,GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO),GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO),700301,QUEROSENE (COMBUSTIVEL DOMESTICO),,7003,11011,11007,11007
7,700301,QUEROSENE (COMBUSTIVEL DOMESTICO),.,7,,00102,700102,700102,7001,GAS DE BOTIJAO (KG) (COMBUSTIVEL DOMESTICO),GAS DE BUJAO (COMBUSTIVEL DOMESTICO),700401,ALCOOL (COMBUSTIVEL DOMESTICO),,7004,11012,11008,11008
7,700401,ALCOOL (COMBUSTIVEL DOMESTICO),.,7,,00103,700103,700103,7001,GAS DE BUJAO (COMBUSTIVEL DOMESTICO),,700501,OLEO DIESEL (COMBUSTIVEL DOMESTICO),,7005,11013,11009,11009
7,700501,OLEO DIESEL (COMBUSTIVEL DOMESTICO),.,7,,00104,700104,700104,7001,GAS DE BUJAO (KG) (COMBUSTIVEL DOMESTICO),,700601,CARVAO (COMBUSTIVEL DOMESTICO),,7006,11014,11010,11010
7,700601,CARVAO (COMBUSTIVEL DOMESTICO),.,7,,00201,700201,700201,7002,AGUA PARA USO GERAL,AGUA PARA USO GERAL,700701,LENHA (COMBUSTIVEL DOMESTICO),,7007,11015,11011,11011
7,700701,LENHA (COMBUSTIVEL DOMESTICO),.,7,,00202,700202,700202,7002,AQUISICAO DE AGUA (USO GERAL) (LITROS),PIPA DE AGUA,700801,GASOLINA (COMBUSTIVEL DOMESTICO),,7008,11016,11012,11012
7,700801,GASOLINA (COMBUSTIVEL DOMESTICO),.,7,,00203,700203,700203,7002,PIPA DE AGUA (LITROS),,700901,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),,7009,11017,11013,11013
7,700901,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),.,7,,00204,700204,700204,7002,GARRAFAO DE AGUA (LITROS),,701001,GAS DE BOTIJAO PARA ILUMINACAO,,7010,11018,11014,11014
7,701001,GAS DE BOTIJAO PARA ILUMINACAO,.,7,,00301,700301,700301,7003,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),QUEROSENE (COMBUSTIVEL DOMESTICO),701002,GAS DE BUJAO PARA ILUMINACAO,,7010,11019,11015,11015
7,701002,GAS DE BUJAO PARA ILUMINACAO,.,7,,00401,700401,700401,7004,GAS DE BUJAO PARA ILUMINACAO,ALCOOL (COMBUSTIVEL DOMESTICO),701101,PO DE SERRA (COMBUSTIVEL DOMESTICO),,7011,11020,11016,11016
7,701101,PO DE SERRA (COMBUSTIVEL DOMESTICO),.,7,,00402,700402,700402,7004,GAS DE BUJAO (KG) (PARA ILUMINACAO),,799901,AGREGADO,,7999,11021,11017,11017
7,799901,AGREGADO,.,7,,00403,700403,700403,7004,GAS DE BOTIJAO (PARA ILUMINACAO),,800101,AZULEJO E PISO (PEQUENOS REPAROS),,8001,11022,11018,11018
8,800101,AZULEJO E PISO (PEQUENOS REPAROS),.,7,,00501,700501,700501,7005,QUEROSENE (COMBUSTIVEL DOMESTICO),OLEO DIESEL (COMBUSTIVEL DOMESTICO),800102,AZULEJO (PEQUENOS REPAROS),,8001,11023,11019,11019
8,800102,AZULEJO (PEQUENOS REPAROS),.,7,,00502,700502,700502,7005,QUEROSENE (LITRO) (COMBUSTIVEL DOMESTICO),,800103,PISO (PEQUENOS REPAROS),,8001,11024,11020,11020
8,800103,PISO (PEQUENOS REPAROS),.,7,,00601,700601,700601,7006,PO DE SERRA (COMBUSTIVEL DOMESTICO),CARVAO (COMBUSTIVEL DOMESTICO),800104,LAJOTA (PEQUENOS REPAROS),,8001,11025,11021,11021
8,800104,LAJOTA (PEQUENOS REPAROS),.,7,,00602,700602,700602,7006,PO DE SERRA (KG) (COMBUSTIVEL DOMESTICO),,800105,PISO DE CERAMICA (PEQUENOS REPAROS),,8001,11026,11022,11022
