0,1,2,3,4,5,6,7,8,9,10,11,12,13
1995,Alimentação no domicílio (DAD),Carnes_visceras_etc,Pescados_frescos,"7001:7003, 7011:7013, 7021:7023, 7031:7033, 7041:7043, 7051:7053, 7061:7063, 7071:7073, 7081:7083, 7091:7093, 7101:7103, 7111:7113, 7121:7123, 7131:7133, 7141:7143, 7149, 7151:7153, 7161:7163, 7169, 7181:7183, 7191:7193, 7201:7203, 7211:7213, 7221:7223, 7231:7233, 7241:7243, 7251:7253, 7261:7263, 7271:7273, 7281:7283, 7291:7293, 7301:7303, 7311:7313, 7321:7323, 7331:7333, 7341:7343, 7351:7353, 7361:7363, 7381:7383, 7391:7393, 7401:7403, 7411:7413, 7419, 7421:7423, 7431:7433, 7441:7443, 7451:7453, 7461:7463, 7471:7473, 7481:7483, 7491:7493, 7501:7503, 7531:7533, 7541:7543, 7551:7553, 7571:7573, 7581:7583, 7591:7593, 7601:7603, 7614:7613, 7621:7623, 7641:7643, 7651:7653, 7656:7657, 7661:7662, 7671:7672, 7681:7682, 7691:7692, 7701:7702, 7711, 7721:7722, 7731:7733, 7741:7742, 7751:7753, 7771:7773, 7781:7783, 7791:7793, 7801, 7811:7813, 7821:7822, 7831:7833, 7841:7843, 7851:7853, 8001:8003, 8011:8013, 8021:8023, 8031:8033, 8041:8043, 8049, 8051:8053, 8061:8063, 8071:8073, 8081:8083, 8091:8093, 8101:8103, 8111:8113, 8121:8123, 8131:8133, 8141:8143, 8151:8153, 8161:8163, 8171:8173, 8181:8183, 8191:8193, 8201:8203, 8211:8213, 8221:8223, 8231:8233, 8241:8243, 8251:8253, 8261:8263, 8271:8273, 8281:8283, 8291:8293, 8301:8303, 8311:8313, 8321:8323, 8329, 8331:8333, 8341:8343, 8349, 8351:8353, 8361:8363, 8371:8373, 8381:8383, 8391:8393, 8401:8403, 8411:8413, 8421:8423, 8431:8432, 8441:8443, 8451:8453, 8461:8463, 8471:8473, 8481:8483, 8491:8493, 8501:8502, 8511:8513",,,,,,,,,
1995,Alimentação no domicílio (DAD),Carnes_visceras_etc,Outros_carnes_etc,"6918:6925, 6927:6932, 6938:6957, 6967, 6969:6986, 6988",,,,,,,,,
1995,Alimentação no domicílio (DAD),Aves_e_ovos,Frango,"9101:9114, 9136, 91047:91048",,,,,,,,,
1995,Alimentação no domicílio (DAD),Aves_e_ovos,Ovo_de_galinha,9133,,,,,,,,,
1995,Alimentação no domicílio (DAD),Aves_e_ovos,Outros_aves_etc,"9115:9122, 9130, 9134:9135, 9137:9143",,,,,,,,,
1995,Alimentação no domicílio (DAD),Leites_e_derivados,Leite_de_vaca,9151:9152,,,,,,,,,
1995,Alimentação no domicílio (DAD),Leites_e_derivados,Leite_em_po,9156:9158,,,,,,,,,
1995,Alimentação no domicílio (DAD),Leites_e_derivados,Queijos,"9167:9180, 9186:9187, 9196",,,,,,,,,
1995,Alimentação no domicílio (DAD),Leites_e_derivados,Outros_leites_etc,"9153:9155, 9159:9166, 9182, 9185, 9188:9189",,,,,,,,,
1995,Alimentação no domicílio (DAD),Panificados,Pao_frances,9201,,,,,,,,,
1995,Alimentação no domicílio (DAD),Panificados,Biscoito,9222:9224,,,,,,,,,
1995,Alimentação no domicílio (DAD),Panificados,Outros_panificados,"9202:9221, 9225:9245, 92061, 92086:92088, 92090, 92099:92104, 92106:92107, 92109",,,,,,,,,
1995,Alimentação no domicílio (DAD),Oleos_e_gorduras,Oleo_de_soja,9403,,,,,,,,,
1995,Alimentação no domicílio (DAD),Oleos_e_gorduras,Azeite_de_oliva,9401,,,,,,,,,
1995,Alimentação no domicílio (DAD),Oleos_e_gorduras,Outros_oleos_e_gorduras,"9402, 9404:9429",,,,,,,,,
1995,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Cafe_moido,9325,,,,,,,,,
1995,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Refrigerantes,"9301:9319, 9335, 9339:9343, 9346, 9349, 9350, 9354:9355, 9357:9358, 9360",,,,,,,,,
1995,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Cervejas_e_chopes,9701:9702,,,,,,,,,
1995,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Outras_bebidas_alcoolicas,9703:9730,,,,,,,,,
1995,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Outras_bebidas_etc,"6467, 6757, 6764:6765, 9320:9324, 9326:9334, 9336:9338, 9344:9345, 9347:9348, 9351:9353, 93056, 9359, 9361:9365",,,,,,,,,
1995,Alimentação no domicílio (DAD),Sal_e_condimentos,Enlatados_e_conservas,9001:9055,,,,,,,,,
1995,Alimentação no domicílio (DAD),Sal_e_condimentos,Massa_de_tomate,6847,,,,,,,,,
1995,Alimentação no domicílio (DAD),Sal_e_condimentos,Maionese,6843,,,,,,,,,
1995,Alimentação no domicílio (DAD),Sal_e_condimentos,Sal_refinado,6801,,,,,,,,,
1995,Alimentação no domicílio (DAD),Sal_e_condimentos,Outros_sal,"6802:6842, 6844:6846, 6848:6875",,,,,,,,,
1995,Alimentação no domicílio (DAD),Alimentos_preparados,Alimentos_preparados,9451:9482,,,,,,,,,
1995,Alimentação no domicílio (DAD),Outros_alimentacao_no_dom,Outros_alimentacao_no_dom,9993:9998,,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Almoco_e_jantar,Almoco_e_jantar,"2401, 4844",,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Cafe_leite_chocolate,Cafe_leite_chocolate,"2402, 2405",,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Sanduiches_e_salgados,Sanduiches_e_salgados,2404,,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Refri_e_outras_nao_alcoolicas,Refri_e_outras_nao_alcoolicas,"2406:2407, 2413, 2420:2422, 2428:2429, 2431:2433, 2436, 2439:2440",,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Lanches,Lanches,"2437, 24053:24054, 24056:24057, 41006, 49026",,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Cervejas_e_outras_alcoolicas,Cervejas_e_outras_alcoolicas,2409:2412,,,,,,,,,
1995,Alimentação fora do domicílio (DAF),Outras_alimentacao_fora_do_dom,Outras_alimentacao_fora_do_dom,"2403, 2408, 2414:2419, 2423:2427, 2430, 2434:2435, 2438, 24050, 24058, 24061, 24096:24098",,,,,,,,,
1995,Despesas diversas (DDI),Servicos_e_taxas,Aluguel,"1005, 1010, 1016, 1018",Servicos_e_taxas,Aluguel,Codigo  %in% c(,"1005, 1010, 1016, 1018","), """,31001,""",",Aluguel,31001
1995,Despesas diversas (DDI),Servicos_e_taxas,Energia_eletrica,4707,Servicos_e_taxas,Energia_eletrica,Codigo  %in% c(,4707,"), """,31002,""",",Energia_eletrica,31002
1995,Despesas diversas (DDI),Servicos_e_taxas,Telefone_fixo,"0704, 0713:0714",Servicos_e_taxas,Telefone_fixo,Codigo  %in% c(,"0704, 0713:0714","), """,31003,""",",Telefone_fixo,31003
1995,Despesas diversas (DDI),Servicos_e_taxas,Telefone_celular,0715,Servicos_e_taxas,Telefone_celular,Codigo  %in% c(,0715,"), """,31004,""",",Telefone_celular,31004
1995,Despesas diversas (DDI),Servicos_e_taxas,Gas_domestico,"0703, 0705, 0708",Servicos_e_taxas,Gas_domestico,Codigo  %in% c(,"0703, 0705, 0708","), """,31005,""",",Gas_domestico,31005
1995,Despesas diversas (DDI),Servicos_e_taxas,Agua_e_esgoto,0701,Servicos_e_taxas,Agua_e_esgoto,Codigo  %in% c(,0701,"), """,31006,""",",Agua_e_esgoto,31006
1995,Despesas diversas (DDI),Servicos_e_taxas,Outros_servicos_etc,"0706:0707, 0709, 0711:0712, 0798",Servicos_e_taxas,Outros_servicos_etc,Codigo  %in% c(,"0706:0707, 0709, 0711:0712, 0798","), """,31007,""",",Outros_servicos_etc,31007
1995,Despesas diversas (DDI),Habitacao,Manutencao_do_lar,"0801:0864, 0866:0873, 0898, 1901:1930, 1948",Habitacao,Manutencao_do_lar,Codigo  %in% c(,"0801:0864, 0866:0873, 0898, 1901:1930, 1948","), """,32001,""",",Manutencao_do_lar,32001
1995,Despesas diversas (DDI),Habitacao,Artigos_de_limpeza,"9501:, 9581",Habitacao,Artigos_de_limpeza,Codigo  %in% c(,"9501:, 9581","), """,32002,""",",Artigos_de_limpeza,32002
1995,Despesas diversas (DDI),Habitacao,Mobiliarios_e_artigos_do_lar,"1619, 1621:1630, 1635:1636, 1641:1642, 1644:1645, 1647, 1662, 1670, 1682, 1689, 1701:1718, 1720:1727, 1729:1737, 1740:1746, 1760:1767, 1769, 1772, 1774:1778, 1780:1795, 1797, 1801:1803, 1805, 1850:1898, 3703:3706, 3710:3713, 3716, 3720, 3723:3725, 3901:3910, 3912:3920, 3922:3926, 3928, 3930:3944, 3946:3955, 3998, 4032, 4037, 4050, 4068, 9509:9510, 9512:9513, 9528:9529, 9535:9544, 9546:9555, 9559, 9562, 9567:9568, 9572, 9574, 9576, 9578:9581",Habitacao,Mobiliarios_e_artigos_do_lar,Codigo  %in% c(,"1619, 1621:1630, 1635:1636, 1641:1642, 1644:1645, 1647, 1662, 1670, 1682, 1689, 1701:1718, 1720:1727, 1729:1737, 1740:1746, 1760:1767, 1769, 1772, 1774:1778, 1780:1795, 1797, 1801:1803, 1805, 1850:1898, 3703:3706, 3710:3713, 3716, 3720, 3723:3725, 3901:3910, 3912:3920, 3922:3926, 3928, 3930:3944, 3946:3955, 3998, 4032, 4037, 4050, 4068, 9509:9510, 9512:9513, 9528:9529, 9535:9544, 9546:9555, 9559, 9562, 9567:9568, 9572, 9574, 9576, 9578:9581","), """,32003,""",",Mobiliarios_e_artigos_do_lar,32003
1995,Despesas diversas (DDI),Habitacao,Eletrodomesticos,"1501:1596, 1614:1617, 1631:1634, 1637:1638, 1648:1650, 1652, 1657, 1660:1661, 1663, 1665, 1669, 1676, 1693, 1696:1697, 4067",Habitacao,Eletrodomesticos,Codigo  %in% c(,"1501:1596, 1614:1617, 1631:1634, 1637:1638, 1648:1650, 1652, 1657, 1660:1661, 1663, 1665, 1669, 1676, 1693, 1696:1697, 4067","), """,32004,""",",Eletrodomesticos,32004
1995,Despesas diversas (DDI),Habitacao,Consertos_de_artigos_do_lar,"0901:0903, 0906:0910, 0912, 0915, 0920:0977, 0998",Habitacao,Consertos_de_artigos_do_lar,Codigo  %in% c(,"0901:0903, 0906:0910, 0912, 0915, 0920:0977, 0998","), """,32005,""",",Consertos_de_artigos_do_lar,32005
1995,Despesas diversas (DDI),Vestuario,Roupa_de_homem,"3401:3437, 3498",Vestuario,Roupa_de_homem,Codigo  %in% c(,"3401:3437, 3498","), """,33001,""",",Roupa_de_homem,33001
1995,Despesas diversas (DDI),Vestuario,Roupa_de_mulher,"3501:3552, 3598",Vestuario,Roupa_de_mulher,Codigo  %in% c(,"3501:3552, 3598","), """,33002,""",",Roupa_de_mulher,33002
1995,Despesas diversas (DDI),Vestuario,Roupa_de_crianca,"3601:3652, 3698",Vestuario,Roupa_de_crianca,Codigo  %in% c(,"3601:3652, 3698","), """,33003,""",",Roupa_de_crianca,33003
1995,Despesas diversas (DDI),Vestuario,Calcados_e_apetrechos,"3801:3830, 3832:3838, 3898",Vestuario,Calcados_e_apetrechos,Codigo  %in% c(,"3801:3830, 3832:3838, 3898","), """,33004,""",",Calcados_e_apetrechos,33004
1995,Despesas diversas (DDI),Vestuario,Joias_e_bijuterias,"4001, 4601:4608, 4610:4611, 4698",Vestuario,Joias_e_bijuterias,Codigo  %in% c(,"4001, 4601:4608, 4610:4611, 4698","), """,33005,""",",Joias_e_bijuterias,33005
1995,Despesas diversas (DDI),Vestuario,Tecidos_e_armarinhos,"3701:3702, 3708, 3714:3715, 3717:3719, 3721, 3725:3726, 3798",Vestuario,Tecidos_e_armarinhos,Codigo  %in% c(,"3701:3702, 3708, 3714:3715, 3717:3719, 3721, 3725:3726, 3798","), """,33006,""",",Tecidos_e_armarinhos,33006
1995,Despesas diversas (DDI),Transporte,Urbano,"2301:2305, 2310:2311, 2314:2316, 2320:2326, 2398, 4845",Transporte,Urbano,Codigo  %in% c(,"2301:2305, 2310:2311, 2314:2316, 2320:2326, 2398, 4845","), """,34001,""",",Urbano,34001
1995,Despesas diversas (DDI),Transporte,Gasolina_para_veiculo_proprio,2307,Transporte,Gasolina_para_veiculo_proprio,Codigo  %in% c(,2307,"), """,34002,""",",Gasolina_para_veiculo_proprio,34002
1995,Despesas diversas (DDI),Transporte,Alcool_para_veiculo_proprio,2306,Transporte,Alcool_para_veiculo_proprio,Codigo  %in% c(,2306,"), """,34003,""",",Alcool_para_veiculo_proprio,34003
1995,Despesas diversas (DDI),Transporte,Manutencao_de_veiculo_proprio,"4301:4308, 4312, 4314:4318, 4320:4323, 4326, 4330:4332",Transporte,Manutencao_de_veiculo_proprio,Codigo  %in% c(,"4301:4308, 4312, 4314:4318, 4320:4323, 4326, 4330:4332","), """,34004,""",",Manutencao_de_veiculo_proprio,34004
1995,Despesas diversas (DDI),Transporte,Aquisicao_de_veiculos,"5012, 5101:5113, 5120:5124, 5151",Transporte,Aquisicao_de_veiculos,Codigo  %in% c(,"5012, 5101:5113, 5120:5124, 5151","), """,34005,""",",Aquisicao_de_veiculos,34005
1995,Despesas diversas (DDI),Transporte,Viagens,"4101:4105, 4107:4124, 4198",Transporte,Viagens,Codigo  %in% c(,"4101:4105, 4107:4124, 4198","), """,34006,""",",Viagens,34006
1995,Despesas diversas (DDI),Transporte,Outros_transporte,"2308:2309, 2312:2313, 2317:2318, 4309:4311, 4313, 4319, 4324:4325, 4327:4329, 4333:4335, 4398, 5003, 5005:5008, 5010, 5098",Transporte,Outros_transporte,Codigo  %in% c(,"2308:2309, 2312:2313, 2317:2318, 4309:4311, 4313, 4319, 4324:4325, 4327:4329, 4333:4335, 4398, 5003, 5005:5008, 5010, 5098","), """,34007,""",",Outros_transporte,34007
1995,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Perfume,3002,Higiene_e_cuidados_pessoais,Perfume,Codigo  %in% c(,3002,"), """,35001,""",",Perfume,35001
1995,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Produtos_para_cabelo,9604,Higiene_e_cuidados_pessoais,Produtos_para_cabelo,Codigo  %in% c(,9604,"), """,35002,""",",Produtos_para_cabelo,35002
1995,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Sabonete,"9603, 9614",Higiene_e_cuidados_pessoais,Sabonete,Codigo  %in% c(,"9603, 9614","), """,35003,""",",Sabonete,35003
1995,Despesas diversas (DDI),Higiene_e_cuidados_pessoais,Produtos_de_uso_pessoal,"3001, 3003:3010, 3013:3024, 3098, 9601:9602, 9605:9609, 9611:9613, 9615:9616",Higiene_e_cuidados_pessoais,Produtos_de_uso_pessoal,Codigo  %in% c(,"3001, 3003:3010, 3013:3024, 3098, 9601:9602, 9605:9609, 9611:9613, 9615:9616","), """,35004,""",",Produtos_de_uso_pessoal,35004
1995,Despesas diversas (DDI),Assistencia_a_saude,Remedios,"2901:2937, 2974",Assistencia_a_saude,Remedios,Codigo  %in% c(,"2901:2937, 2974","), """,36001,""",",Remedios,36001
1995,Despesas diversas (DDI),Assistencia_a_saude,Plano_Seguro_saude,"4214, 4225, 4231",Assistencia_a_saude,Plano_Seguro_saude,Codigo  %in% c(,"4214, 4225, 4231","), """,36002,""",",Plano_Seguro_saude,36002
1995,Despesas diversas (DDI),Assistencia_a_saude,Consulta_e_tratamento_dentario,4203:4204,Assistencia_a_saude,Consulta_e_tratamento_dentario,Codigo  %in% c(,4203:4204,"), """,36003,""",",Consulta_e_tratamento_dentario,36003
1995,Despesas diversas (DDI),Assistencia_a_saude,Consulta_medica,4201,Assistencia_a_saude,Consulta_medica,Codigo  %in% c(,4201,"), """,36004,""",",Consulta_medica,36004
1995,Despesas diversas (DDI),Assistencia_a_saude,Tratamento_ambulatorial,"4210, 4215, 4220",Assistencia_a_saude,Tratamento_ambulatorial,Codigo  %in% c(,"4210, 4215, 4220","), """,36005,""",",Tratamento_ambulatorial,36005
1995,Despesas diversas (DDI),Assistencia_a_saude,Servicos_de_cirurgia,4205,Assistencia_a_saude,Servicos_de_cirurgia,Codigo  %in% c(,4205,"), """,36006,""",",Servicos_de_cirurgia,36006
1995,Despesas diversas (DDI),Assistencia_a_saude,Hospitalizacao,4206,Assistencia_a_saude,Hospitalizacao,Codigo  %in% c(,4206,"), """,36007,""",",Hospitalizacao,36007
1995,Despesas diversas (DDI),Assistencia_a_saude,Exames_diversos,"4207:4209, 4221, 4230, 4232:4233",Assistencia_a_saude,Exames_diversos,Codigo  %in% c(,"4207:4209, 4221, 4230, 4232:4233","), """,36008,""",",Exames_diversos,36008
