0,1,2,3,4,5
"Tradutor POF2002-2003 - Contas Nacionais, com produtos para consumo final das famílias",,,,,https://github.com/rodrigoesborges/pofesferas/blob/master/tradutores/Tradu_POF_2003xContas-rearrumado-na-mao.xls?raw=true
Cod Pof,Descrição pof,CodAdapt,Descrição Contas,Cod Contas 110,fonte
0700101,AGUA E ESGOTO (DOMICILIO PRINCIPAL),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700102,AGUA E ESGOTO (M3),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700201,ENERGIA ELETRICA (DOMICILIO PRINCIPAL),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700202,ENERGIA ELETRICA (KWH),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700301,GAS ENCANADO (DOMICILIO PRINCIPAL),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700302,GAS ENCANADO (M3),3500,"Eletricidade e gás, água, esgoto e limpeza urbana",040101,
0700401,TELEFONE RESIDENCIAL (GASTO TOTAL)(DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0700402,TELEFONE RESIDENCIAL (GASTO TOTAL)(PULSOS),6100,Serviços de informação,080101,
0700501,GAS DE BUJAO (DOMICILIO PRINCIPAL),1991,Gás liquefeito de petróleo,030901,
0700502,GAS DE BUJAO (KG),1991,Gás liquefeito de petróleo,030901,
0700503,GAS DE BUJAO,1991,Gás liquefeito de petróleo,030901,
0700601,AQUISICAO DE AGUA (DOMICILIO PRINCIPAL),1100,Bebidas,030119,
0700602,GARRAFAO DE AGUA (DOMICILIO PRINCIPAL),1100,Bebidas,030119,
0700603,AQUISICAO DE AGUA (LITRO),1100,Bebidas,030119,
0700701,LENHA (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0280,Produtos da exploração florestal e da silvicultura,010112,
0700702,LENHA (M3),0280,Produtos da exploração florestal e da silvicultura,010112,
0700801,GAS DE BUJAO PARA ILUMINACAO (DOMICILIO PRINCIPAL),1991,Gás liquefeito de petróleo,030901,
0700901,QUEROSENE (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1991,Outros produtos do refino de petróleo e coque,030906,
0700902,QUEROSENE(COMBUSTIVEL DOMESTICO) (LITRO),1991,Outros produtos do refino de petróleo e coque,030906,
0701001,CARVAO (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),2091,Produtos químicos orgânicos,031102,
0701002,CARVAO (KG),2091,Produtos químicos orgânicos,031102,
0701101,ALCOOL (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1992,Álcool,031001,
0701201,OLEO DIESEL (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1991,Óleo diesel,030905,
0701301,TELEFONE RESIDENCIAL (INTERURBANO)(DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701302,TELEFONE RESIDENCIAL (INTERURBANO),6100,Serviços de informação,080101,
0701401,TELEFONE RESIDENCIAL (INTERNACIONAL) (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701402,TELEFONE RESIDENCIAL (INTERNACIONAL),6100,Serviços de informação,080101,
0701601,"ACESSO A INTERNET (PROVEDOR,A CABO,COMUNICACAO VIA SATELITE)(DOMICILIO PRINCIPAL",6100,Serviços de informação,080101,
0701602,ACESSO A INTERNET (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701603,TAXA DE INTERNET (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701604,PROVEDOR DE INTERNET (DOMICILIO PRINCIPAL),6100,Serviços de informação,080101,
0701607,"ACESSO INTERNET (PROVEDOR, A CABO, COMUN. VIA SATELITE)",6100,Serviços de informação,080101,
0701701,TV (ASSINATURA) (DOMICILIO PRINCIPAL),5980,Serviços de informação,080101,
0701702,MENSALIDADE DE TV (ASSINATURA) (DOMICILIO PRINCIPAL),5980,Serviços de informação,080101,
0701703,ASSINATURA DE TV (DOMICILIO PRINCIPAL),5980,Serviços de informação,080101,
0701704,TV (ASSINATURA),5980,Serviços de informação,080101,
0701801,GASOLINA (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),1991,Gasoálcool,030903,
0701802,GASOLINA (LITRO),1991,Gasoálcool,030903,
0701901,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),7380,Serviços de manutenção e reparação,110101,
0702001,PO DE SERRA,1600,Produtos de madeira - exclusive móveis,030601,
0800101,AZULEJO E PISO,9900,FBKF,FBKF,
0800102,PISO,9900,FBKF,FBKF,
0800104,LAJOTA,9900,FBKF,FBKF,
0800201,"APARELHOS SANITARIOS (PIA,VASO,BIDE,BANHEIRA,ETC.)",9900,FBKF,FBKF,
0800202,BIDE,9900,FBKF,FBKF,
0800203,CONJUNTO SANITARIO,9900,FBKF,FBKF,
0800204,VASO SANITARIO,9900,FBKF,FBKF,
0800205,BANHEIRA,9900,FBKF,FBKF,
0800208,PIA,9900,FBKF,FBKF,
0800209,"APARELHOS SANITARIOS (PIA, VASO, BIDE, BANHEIRA, ETC)",9900,FBKF,FBKF,
0800301,JANELA E PORTA,9900,FBKF,FBKF,
0800302,PORTA,9900,FBKF,FBKF,
0800401,MADEIRA E TACO,9900,FBKF,FBKF,
0800403,CAIBRO,9900,FBKF,FBKF,
0800404,RIPA,1600,Produtos de madeira - exclusive móveis,030601,
0800405,SARRAFO,9900,FBKF,FBKF,
0800501,CIMENTO,4180,Cimento,031901,
0800502,CIMENTO BRANCO,4180,Cimento,031901,
0800503,CIMENTCOLA OU CIMENTOCOLA,4180,Cimento,031901,
0800601,TIJOLO,9900,FBKF,FBKF,
0800602,BLOCO DE CERAMICA,9900,FBKF,FBKF,
0800701,VIDRO,2300,Outros produtos de minerais não-metálicos,032001,
0800801,TINTA,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0800802,VERNIZ,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0800901,MATERIAL DE PINTURA EM GERAL,9900,FBKF,FBKF,
0800902,MASSA CORRIDA PARA PAREDE,9900,FBKF,FBKF,
0800903,CAL,2300,Outros produtos de minerais não-metálicos,032001,
0800904,CAL VIRGEM,2300,Outros produtos de minerais não-metálicos,032001,
0800905,ROLO DE PINTURA,9900,FBKF,FBKF,
0800906,LIXA DE MADEIRA,9900,FBKF,FBKF,
0801001,"TORNEIRA,CANO E MATERIAL HIDRAULICO EM GERAL",9900,FBKF,FBKF,
0801002,CANO,9900,FBKF,FBKF,
0801003,MATERIAL HIDRAULICO,9900,FBKF,FBKF,
0801004,"TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL",9900,FBKF,FBKF,
0801101,"FERRAGENS (FECHADURA,FERRO,ARAME,PREGO,ETC.)",9900,FBKF,FBKF,
0801102,FECHADURA,2500,Produtos de metal - exclusive máquinas e equipamento,032301,
0801103,FERRO,9900,FBKF,FBKF,
0801104,ARAME,9900,FBKF,FBKF,
0801105,PREGO,9900,FBKF,FBKF,
0801106,CADEADO,2500,Produtos de metal - exclusive máquinas e equipamento,032301,
0801107,RALO DE ESGOTAMENTO DE AGUA,9900,FBKF,FBKF,
0801108,TELA DE ARAME,9900,FBKF,FBKF,
0801109,TRILHO METALICO,9900,FBKF,FBKF,
0801110,ROLAMENTO PARA PORTA,9900,FBKF,FBKF,
0801111,"FERRAGENS(FECHADURA, FERRO, ARAME, PREGO, ETC)",9900,FBKF,FBKF,
0801201,FIO E MATERIAL ELETRICO EM GERAL,9900,FBKF,FBKF,
0801202,MATERIAL PARA INSTALACAO ELETRICA,9900,FBKF,FBKF,
0801203,FIO PARA INSTALACAO ELETRICA,2700,"Máquinas, aparelhos e materiais elétricos",032701,
0801301,"MAO-DE-OBRA (PEDREIRO,MARCENEIRO,ELETRICISTA,PINTOR,ETC.)",9900,FBKF,FBKF,
0801302,PEDREIRO,9900,FBKF,FBKF,
0801303,MARCENEIRO,9900,FBKF,FBKF,
0801304,ELETRICISTA,9900,FBKF,FBKF,
0801305,PINTOR,9900,FBKF,FBKF,
0801306,"MAO DE OBRA(PEDREIRO,MARCENEIRO,ELETRICISTA,PINTOR,ETC.)",9900,FBKF,FBKF,
0801307,LIMPEZA DE FOSSA,9900,FBKF,FBKF,
0801401,"DEDETIZACAO,DESRATIZACAO,DESINSETIZACAO,ETC.",9900,FBKF,FBKF,
0801403,EXTERMINIO DE INSETOS,9900,FBKF,FBKF,
0801501,"VITRIFICACAO (SINTECO,POLIURETANO,ETC.)",9900,FBKF,FBKF,
0801502,SINTECO,9900,FBKF,FBKF,
0801601,REFORMA OU OBRA POR EMPREITADA,9900,FBKF,FBKF,
0801602,CONSTRUCAO POR EMPREITADA,9900,FBKF,FBKF,
0801604,EMPREITADA,9900,FBKF,FBKF,
0801606,TERRAPLANAGEM (EMPREITADA),9900,FBKF,FBKF,
0801801,"ARTIGOS DE JARDINAGEM (PLANTA,TERRA,SEMENTE,XAXIM,ETC.)",0191,Outros produtos e serviços da lavoura,010106,
0801802,PLANTAS NATURAIS,0191,Outros produtos e serviços da lavoura,010106,
0801803,TERRA VEGETAL,0191,Outros produtos e serviços da lavoura,010106,
0801804,SEMENTES,0191,Outros produtos e serviços da lavoura,010106,
0801805,XAXIM,0191,Outros produtos e serviços da lavoura,010106,
0801806,VASO PARA PLANTA,0191,Outros produtos e serviços da lavoura,010106,
0801807,SUPORTE DE VASO,0191,Outros produtos e serviços da lavoura,010106,
0801808,MUDAS,0191,Outros produtos e serviços da lavoura,010106,
0801810,"ARTIGOS DE JARDINAGEM (PLANTAS, TERRA, SEMENTES, XAXIM, ETC.)",0191,Outros produtos e serviços da lavoura,010106,
0801901,ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUCAO,9900,FBKF,FBKF,
0801902,FRETE DE MATERIAL DE CONSTRUCAO,9900,FBKF,FBKF,
0801904,RETIRADA DE ENTULHO,9900,FBKF,FBKF,
0801905,CARRETO DE MATERIAL DE CONSTRUCAO,9900,FBKF,FBKF,
0801906,ALUGUEL DE MATERIAL DE CONSTRUCAO,9900,FBKF,FBKF,
0802001,CAIXA DE CORREIO,9900,FBKF,FBKF,
0802101,LAJE PRE-MOLDADA,9900,FBKF,FBKF,
0802102,LAGE PRE-MOLDADA,9900,FBKF,FBKF,
0802201,"AREIA,TERRA,BARRO,SAIBRO,ETC.",9900,FBKF,FBKF,
0802202,ARENOSO,9900,FBKF,FBKF,
0802203,BARRO,9900,FBKF,FBKF,
0802204,SAIBRO,9900,FBKF,FBKF,
0802206,TERRA,9900,FBKF,FBKF,
0802207,ATERRO,9900,FBKF,FBKF,
0802208,CASCALHO,9900,FBKF,FBKF,
0802209,"AREIA, TERRA, BARRO, SAIBRO, ETC.",9900,FBKF,FBKF,
0802301,"PEDRAS (BRITADA,MARROADA,PARALELEPIPEDO,ETC.)",9900,FBKF,FBKF,
0802302,PEDRA BRITADA,9900,FBKF,FBKF,
0802303,BRITA,9900,FBKF,FBKF,
0802304,PO DE PEDRA,9900,FBKF,FBKF,
0802306,PEDRA DE ALICERCE,9900,FBKF,FBKF,
0802307,"PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.)",9900,FBKF,FBKF,
0802401,PORTAO,9900,FBKF,FBKF,
0802402,PORTAO DE FERRO,9900,FBKF,FBKF,
0802403,PORTAO ELETRONICO,9900,FBKF,FBKF,
0802601,BASCULANTE,9900,FBKF,FBKF,
0802701,COLA (EXCETO DUREPOX),2092,Produtos e preparados químicos diversos,031701,
0802702,COLA DE MADEIRA,2092,Produtos e preparados químicos diversos,031701,
0802703,COLA SUPER BOND,2092,Produtos e preparados químicos diversos,031701,
0802704,SUPER BOND,2092,Produtos e preparados químicos diversos,031701,
0802705,COLA DE SAPATEIRO,2092,Produtos e preparados químicos diversos,031701,
0802801,ARGAMASSA,2300,Outros produtos de minerais não-metálicos,032001,
0802802,REJUNTE,9900,FBKF,FBKF,
0802901,"TELHAS (BARRO,AMIANTO,FIBRA,ALUMINIO,ETC.)",9900,FBKF,FBKF,
0802902,"TELHAS (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.)",9900,FBKF,FBKF,
0803001,SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL,9900,FBKF,FBKF,
0803002,PARAPEITO DE JANELA DE QUALQUER MATERIAL,9900,FBKF,FBKF,
0803101,PEDRA MARMORE PARA PIA,9900,FBKF,FBKF,
0803102,MARMORE (PEDRA) PARA PIA,9900,FBKF,FBKF,
0803103,BALCAO DE MARMORE PARA PIA,9900,FBKF,FBKF,
0803104,BALCAO DE PIA,9900,FBKF,FBKF,
0803105,BALCAO DE COZINHA,9900,FBKF,FBKF,
0803106,GRANITO (PEDRA) PARA PIA,9900,FBKF,FBKF,
0803107,BALCAO DE GRANITO PARA PIA,9900,FBKF,FBKF,
0803108,BALCAO,9900,FBKF,FBKF,
0803109,PIA DE COZINHA,9900,FBKF,FBKF,
0803201,CAIXA DE AGUA DE QUALQUER MATERIAL,9900,FBKF,FBKF,
0803202,TAMPA DE CAIXA DE AGUA,9900,FBKF,FBKF,
0803203,CAIXA DE AGUA,9900,FBKF,FBKF,
0803301,GRADE DE FERRO,9900,FBKF,FBKF,
0803401,BLOCO DE CIMENTO,9900,FBKF,FBKF,
0803501,BOX DE BANHEIRO DE QUALQUER MATERIAL,9900,FBKF,FBKF,
0803601,TANQUE DE QUALQUER MATERIAL,9900,FBKF,FBKF,
0803701,PORTAL,9900,FBKF,FBKF,
0803801,CAIXA DE LUZ (PADRAO),9900,FBKF,FBKF,
0803901,CAIXA DE DESCARGA,9900,FBKF,FBKF,
0804001,GESSO,0580,Minerais não-metálicos,020303,
0804101,ESPELHO DE BANHEIRO,9900,FBKF,FBKF,
0804201,MANILHA,9900,FBKF,FBKF,
0804301,"PLACA,ANEL,VIGA,PALANQUE,ETC. DE CIMENTO OU CONCRETO",9900,FBKF,FBKF,
0804302,ANEL DE CIMENTO OU CONCRETO,9900,FBKF,FBKF,
0804303,VIGA DE CIMENTO OU CONCRETO,9900,FBKF,FBKF,
0804305,PLACA DE CIMENTO OU CONCRETO,9900,FBKF,FBKF,
0804401,CAIXA DE REGISTRO DE AGUA,9900,FBKF,FBKF,
0804501,MATERIAL PLASTICO PARA COBERTURA,9900,FBKF,FBKF,
0804502,TOLDO PLASTICO,9900,FBKF,FBKF,
0804503,PLASTICO (MATERIAL PARA COBERTURA),9900,FBKF,FBKF,
0804504,TOLDO DE LONA,9900,FBKF,FBKF,
0804601,DUREPOX,9900,FBKF,FBKF,
0804602,EPOX (COLA),9900,FBKF,FBKF,
0804701,CUBA PARA PIA (QUALQUER MATERIAL),9900,FBKF,FBKF,
0804702,PIA (CUBA) DE QUALQUER MATERIAL,9900,FBKF,FBKF,
0804801,CALHA,9900,FBKF,FBKF,
0804901,ESQUADRIA,9900,FBKF,FBKF,
0805101,POSTE (CIMENTO),9900,FBKF,FBKF,
0805202,VENENO CONTRA CUPIM (CUPINICIDA),2100,Defensivos agrícolas,031401,
0805301,PRODUTOS PARA PISCINA,2091,Produtos químicos inorgânicos,031101,
0805302,CLORO PARA PISCINA,2091,Produtos químicos inorgânicos,031101,
0805303,SULFATO DE ALUMINIO PARA PISCINA,2091,Produtos químicos inorgânicos,031101,
0805501,ESCADA CARACOL,9900,FBKF,FBKF,
0805601,IMPERMEABILIZANTE,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0805602,MASSA DE VEDACAO DE TELHA,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0805701,PALHA PARA COBERTURA,1600,Produtos de madeira - exclusive móveis,030601,
0805901,MASSA DE FIXACAO E VEDACAO DE VIDRO,2092,"Tintas, vernizes, esmaltes e lacas",031601,
0806201,CONCRETO USINADO,9900,FBKF,FBKF,
0807301,LIXEIRA METALICA,9900,FBKF,FBKF,
0808001,MANUTENCAO DE JAZIGO,9480,Serviços prestados às famílias,110601,
0808101,EXUMACAO,9480,Serviços prestados às famílias,110601,
0808201,PLACA DE JAZIGO,2500,Produtos de metal - exclusive máquinas e equipamento,032301,
0808301,CONDOMINIO DE JAZIGO,9480,Serviços prestados às famílias,110601,
0808302,TAXA DE CONDOMINIO DE JAZIGO,9480,Serviços prestados às famílias,110601,
0808401,FORRO PARA COBERTURA (INDETERMINADO),9900,FBKF,FBKF,
0808402,FORRO DE GESSO,9900,FBKF,FBKF,
0808403,FORRO DE MADEIRA,9900,FBKF,FBKF,
0808404,FORRO DE PVC,9900,FBKF,FBKF,
0808501,BOIA DE CAIXA DE AGUA,9900,FBKF,FBKF,
0900101,CONSERTO DE MOVEIS,7380,Serviços de manutenção e reparação,110101,
0900102,REFORMA DE MOVEIS,7380,Serviços de manutenção e reparação,110101,
0900201,MANUTENCAO DE MOVEIS,7380,Serviços de manutenção e reparação,110101,
0900301,CONSERTO DE ASPIRADOR DE PO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0900601,MANUTENCAO DE APARELHOS DOMESTICOS,7380,Serviços de manutenção e reparação,110101,
0900602,MANUTENCAO DE MOTO-BOMBA (POCO ARTESIANO),7380,Serviços de manutenção e reparação,110101,
0900701,CONSERTO DE MOTO-BOMBA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0900801,CONSERTO DE FERRO ELETRICO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0900901,MANUTENCAO DE UTENSILIOS DOMESTICOS,7380,Serviços de manutenção e reparação,110101,
0900905,LIMPEZA DE CARPETE,7380,Serviços de manutenção e reparação,110101,
0900906,MANUTENCAO DE UTENSILIOS DOMESTICOS NAO ELETRICOS,7380,Serviços de manutenção e reparação,110101,
0900907,MANUTENCAO DE UTENSILIOS DOMESTICO,7380,Serviços de manutenção e reparação,110101,
0901001,CONSERTO DE FERRO ELETRICO (PECA),7380,Serviços de manutenção e reparação,110101,
0901002,CONSERTO DE FERRO ELETRICO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0901201,CONSERTO DE UTENSILIOS DOMESTICOS (EXCETO ELETRICOS),7380,Serviços de manutenção e reparação,110101,
0901202,CONSERTO DE ANTENA PARABOLICA,7380,Serviços de manutenção e reparação,110101,
0901203,CONSERTO DE TELEFONE,7380,Serviços de manutenção e reparação,110101,
0901204,CONSERTO DE TOLDO,7380,Serviços de manutenção e reparação,110101,
0901205,CONSERTO DE PERSIANA,7380,Serviços de manutenção e reparação,110101,
0901206,CONSERTO DE RECEPTOR DE ANTENA PARABOLICA,7380,Serviços de manutenção e reparação,110101,
0901501,MONTAGEM DE MOVEIS,7380,Serviços de manutenção e reparação,110101,
0902001,CONSERTO DE GELADEIRA OU FREEZER (PECA),7380,Serviços de manutenção e reparação,110101,
0902101,CONSERTO DE GELADEIRA OU FREEZER (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902102,CONSERTO DE GELADEIRA OU FREEZER (MAO DE OBRA),7380,Serviços de manutenção e reparação,110101,
0902201,CONSERTO DE GELADEIRA OU FREEZER (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902202,CONSERTO DE GELADEIRA OU FREEZER (PECA+MAO DE OBRA),7380,Serviços de manutenção e reparação,110101,
0902301,CONSERTO DE TELEVISAO (PECA),7380,Serviços de manutenção e reparação,110101,
0902401,CONSERTO DE TELEVISAO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902403,CONSERTO DE TELEVISAO (MAO DE OBRA),7380,Serviços de manutenção e reparação,110101,
0902501,CONSERTO DE TELEVISAO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902502,CONSERTO DE TELAO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902503,CONSERTO DE TELEVISAO (PECA+MAO DE OBRA),7380,Serviços de manutenção e reparação,110101,
0902601,CONSERTO DE APARELHO SONORO (PECA),7380,Serviços de manutenção e reparação,110101,
0902602,CONSERTO DE RADIO (PECA),7380,Serviços de manutenção e reparação,110101,
0902701,CONSERTO DE APARELHO SONORO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902702,CONSERTO DE RADIO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902704,CONSERTO DE APARELHO SONORO (MAO DE OBRA),7380,Serviços de manutenção e reparação,110101,
0902801,CONSERTO DE APARELHO SONORO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902802,CONSERTO DE RADIO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902803,CONSERTO DE RADIO-RELOGIO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0902804,CONSERTO DE APARELHO SONORO (PECA+MAO DE OBRA),7380,Serviços de manutenção e reparação,110101,
0902901,CONSERTO DE VIDEOCASSETE (PECA),7380,Serviços de manutenção e reparação,110101,
0903001,CONSERTO DE VIDEOCASSETE (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903101,CONSERTO DE VIDEOCASSETE (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903201,CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA (PECA),7380,Serviços de manutenção e reparação,110101,
0903202,CONSERTO DE MAQUINA DE LAVAR ROUPA (PECA),7380,Serviços de manutenção e reparação,110101,
0903203,CONSERTO DE MAQUINA DE SECAR ROUPA (PECA),7380,Serviços de manutenção e reparação,110101,
0903301,CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903302,CONSERTO DE MAQUINA DE LAVAR ROUPA (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903303,CONSERTO DE MAQUINA DE SECAR ROUPA (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903401,CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903402,CONSERTO DE MAQUINA DE LAVAR ROUPA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903403,CONSERTO DE MAQUINA DE SECAR ROUPA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903501,CONSERTO DE FOGAO (PECA),7380,Serviços de manutenção e reparação,110101,
0903601,CONSERTO DE FOGAO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903701,CONSERTO DE FOGAO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0903801,CONSERTO DE AR CONDICIONADO (PECA),7380,Serviços de manutenção e reparação,110101,
0903901,CONSERTO DE AR CONDICIONADO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904001,CONSERTO DE AR CONDICIONADO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904101,CONSERTO DE PORTAO ELETRONICO (PECA),7380,Serviços de manutenção e reparação,110101,
0904201,CONSERTO DE PORTAO ELETRONICO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904301,CONSERTO DE PORTAO ELETRONICO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904401,CONSERTO DE FURADEIRA ELETRICA (PECA),7380,Serviços de manutenção e reparação,110101,
0904501,CONSERTO DE FURADEIRA ELETRICA (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904601,CONSERTO DE FURADEIRA ELETRICA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904701,CONSERTO DE AQUECEDOR (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904801,CONSERTO DE ORGAO ELETRONICO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0904901,CONSERTO DE SECRETARIA ELETRONICA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905001,CONSERTO DE MAQUINA DE COSTURA OU OVERLOCK (PECA),7380,Serviços de manutenção e reparação,110101,
0905101,CONSERTO DE MAQUINA DE COSTURA OU OVERLOCK (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905201,CONSERTO DE MAQUINA DE COSTURA OU OVERLOCK (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905301,"CONSERTO DE BATEDEIRA DE BOLO,MULTIPROCESSADOR E LIQUIDIFICADOR (PECA)",7380,Serviços de manutenção e reparação,110101,
0905302,CONSERTO DE LIQUIDIFICADOR (PECA),7380,Serviços de manutenção e reparação,110101,
0905401,"CONSERTO DE BATEDEIRA DE BOLO,MULTIPROCESSADOR E LIQUIDIFICADOR (MAO-DE-OBRA)",7380,Serviços de manutenção e reparação,110101,
0905402,CONSERTO DE LIQUIDIFICADOR (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905403,CONSERTO DE MULTIPROCESSADOR (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905501,"CONSERTO DE BATEDEIRA DE BOLO,MULTIPROCESSADOR E LIQUIDIFICADOR (PECA+MAO-DE-OBR",7380,Serviços de manutenção e reparação,110101,
0905502,CONSERTO DE LIQUIDIFICADOR (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905503,CONSERTO DE MULTIPROCESSADOR (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905601,CONSERTO DE FORNO ELETRICO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905701,CONSERTO DE FILMADORA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905801,CONSERTO DE MAQUINA DE LAVAR LOUCAS (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0905901,CONSERTO DE RELOGIO DE MESA OU DE PAREDE (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0906001,CONSERTO DE VENTILADOR (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0906002,CONSERTO DE VENTILADOR (PECA),7380,Serviços de manutenção e reparação,110101,
0906101,CONSERTO DE OZONIZADOR E TORNEIRA ELETRICA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0906201,CONSERTO DE MAQUINA DE LAVAR LOUCAS (PECA),7380,Serviços de manutenção e reparação,110101,
0906301,CONSERTO DE MAQUINA DE LAVAR LOUCAS (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0906501,CONSERTO DE FILMADORA (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0906801,CONSERTO DE ENCERADEIRA (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0906901,CONSERTO DE MICROCOMPUTADOR (PECA),7380,Serviços de manutenção e reparação,110101,
0907001,CONSERTO DE MICROCOMPUTADOR (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0907101,CONSERTO DE MICROCOMPUTADOR (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0907201,CONSERTO DE CHUVEIRO ELETRICO (PECA),7380,Serviços de manutenção e reparação,110101,
0907301,CONSERTO DE CHUVEIRO ELETRICO (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0907401,CONSERTO DE CHUVEIRO ELETRICO (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0907601,CONSERTO DE SECADOR DE CABELOS (MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
0907701,CONSERTO DE SECADOR DE CABELOS (PECA+MAO-DE-OBRA),7380,Serviços de manutenção e reparação,110101,
