0,1,2,3,4,6,13,14,15,16,17,18,19,20,21
2002,Alimentação no domicílio (DAD),Carnes_visceras_etc,Pescados_frescos,"70001:70003, 70011:70013, 70021:70023, 70031:70033, 70039, 70041:70043, 70049, 70051:70053, 70061:70063, 70071:70073, 70081:70083, 70091:70093, 71001:71003, 71011:71013, 71021:71023, 71031:71033, 71041:71043, 71049, 71051:71053, 71061:71063, 71069, 71081:71083, 71091:71093, 72001:72003, 72011:72013, 72021:72023, 72031:72033, 72041:72043, 72051:72053, 72059, 72061:72063, 72071:72073, 72081:72083, 72089, 72091:72093, 73001:73003, 73011:73013, 73021:73023, 73031:73033, 73041:73043, 73051:73053, 73061:73063, 73081:73083, 73091:73093, 74001:74003, 74011:74013, 74019, 74021:74023, 74031:74033, 74041:74043, 74051:74053, 74061:74063, 74071:74073, 74081:74083, 74091:74093, 75001:75003, 75031:75033, 75041:75043, 75051:75053, 75071:75073, 75081:75083, 75091:75093, 76001:76003, 76006:76013, 76021:76023, 76041:76043, 76051:76053, 76056:76057, 76061:76062, 76071:76072, 76081:76082, 76091:76092, 77001:77002, 77011, 77021:77022, 77031:77033, 77041:77042, 77051:77053, 77071:77073, 77091:77093, 78001, 78021:78022, 78031:78033, 78041, 78051, 78061, 78071, 78082, 80001:80003, 80011:80013, 80021:80023, 80031:80033, 80041:80043, 80049, 80051:80053, 80061:80063, 80071:80073, 80081:80083, 80091:80093, 81001:81003, 81009, 81011:81013, 81021:81023, 81031:81033, 81041:81043, 81051:81053, 81061:81063, 81071:81073, 81081:81083, 81091:81093, 82001:82003, 82011:82013, 82021:82023, 82029, 82031:82033, 82041:82043, 82051:82053, 82061:82063, 82071:82073, 82076, 82081:82083, 82091:82093, 83001:83003, 83011:83013, 83021:83023, 83029, 83031:83033, 83041:83043, 83049, 83051:83053, 83061:83063, 83071:83073, 83081:83083, 83091:83093, 84001:84003, 84011:84013, 84021:84023, 84031:84032, 84041:84043, 84051:84053, 84061:84063, 84071:84073, 84081:84083, 84091:84093, 85001:85002, 85011:85013, 85019, 85021, 85031, 85041, 85051, 85061, 85071, 85081, 85091, 85101, 85111, 89991:89993, 89999",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Carnes_visceras_etc,Outros_carnes_etc,"69018:69025, 69027:69032, 69038:69058, 69067, 69069:69098, 69100:69102, 69107, 69111, 69113:69123, 69127:69133",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Aves_e_ovos,Frango,"91001:91014, 91025:91027, 91032, 91036, 91038, 91047:91048",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Aves_e_ovos,Ovo_de_galinha,91033,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Aves_e_ovos,Outros_aves_etc,"91015:91024, 91028, 91030, 91034:91035, 91037, 91039:91046, 91049:91050, 91090, 91097, 91099, 91100",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Leites_e_derivados,Leite_de_vaca,91051:91052,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Leites_e_derivados,Leite_em_po,91056:91058,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Leites_e_derivados,Queijos,"91067:91070, 91072, 91074:91080, 91086:91087, 91096",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Leites_e_derivados,Outros_leites_etc,"91053:91055, 91059:91066, 91082, 91085, 91088:91089",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Panificados,Pao_frances,92001,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Panificados,Biscoito,"92022:92024, 92048:92049, 92080:92081",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Panificados,Outros_panificados,"92002:92021, 92025:92047, 92050, 92061, 92086:92088, 92090, 92099:92104, 92106:92107, 92109",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Oleos_e_gorduras,Oleo_de_soja,94003,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Oleos_e_gorduras,Azeite_de_oliva,94001,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Oleos_e_gorduras,Outros_oleos_e_gorduras,"94002, 94004:94038",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Cafe_moido,93025,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Refrigerantes,"93001:93006, 93009:93014, 93017:93019, 93035, 93041:93043, 93046, 93049, 93054:93055, 93057:93058, 93067:93073",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Cervejas_e_chopes,96051:96052,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Outras_bebidas_alcoolicas,96053:96082,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Bebidas_e_infusoes,Outras_bebidas_etc,"64067, 64073, 64077, 67057, 67064:67065, 67078, 93020:93024, 93026:93034, 93036:93039, 93044:93045, 93047:93048, 93050:93053, 93056, 93059:93065, 96083",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Sal_e_condimentos,Enlatados_e_conservas,90001:90061,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Sal_e_condimentos,Massa_de_tomate,68047,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Sal_e_condimentos,Maionese,68043,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Sal_e_condimentos,Sal_refinado,68001,,,,,,,,,,
2002,Alimentação no domicílio (DAD),Sal_e_condimentos,Outros_sal,"68002:68039, 68041, 68042, 68044:68046, 68048:68055, 68057:68063, 68065:68093",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Alimentacao_no_dom,Alimentos_preparados,"93040, 94051:94065, 94067:94069, 94071:94074, 94076:94082, 94084:94105",,,,,,,,,,
2002,Alimentação no domicílio (DAD),Alimentacao_no_dom,Outros_alimentacao_no_dom,99090:99098,,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Almoco_e_jantar,"24001, 24041:24042, 24051:24052, 24055, 48044",,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Cafe_leite_chocolate,"24002, 24005",,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Sanduiches_e_salgados,"24004, 24043",,,,,,,,,,
2002,Alimentação fora do domicílio (DAF),Alimentacao_fora_do_dom,Refri_e_outras_nao_alcoolicas,"24006:24007, 24013, 24020:24022, 24028:24029, 24031:24033, 24036, 24039:24040, 24044:24049, 24059:24060",,,,,,,,,,
