0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22
Cod,Quadro,Codigo,Variavel,Nivel_1,Descricao_1,Nivel_2,Descricao_2,Nivel_3,Descricao_3,Nivel_4,Descricao_4,Nivel_5,Descricao_5,Nivel_6,Descricao_6,DePara,Nivel 1,Nível 2,Descrição,Codigo final
63019,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63019,FEIJAO ROXO e sinonimos,01207,2. Hortaliças,2.1 Hortaliças folhosas e florais,x.x.x Outrasx.x.x Acelga,02107
63020,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63020,SEMENTE DE LINHACA,01103,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Abóbora comumx.x.x Abóbora,02201
63021,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63021,FEIJAO RAJADO e sinonimos,01206,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Abobrinha,02202
63022,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63022,FEIJAO ROSINHA e sinonimos,01208,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Berinjela,02203
63023,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63023,FEIJAO ENXOFRE e sinonimos,01208,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Cebolax.x.x Cebola fresca,02204
63024,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63024,FEIJAO PARDO e sinonimos,01208,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Chuchu,02205
63025,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63025,FEIJAO CHUMBINHO e sinonimos,01208,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Jiló,02206
63026,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63026,GUANDO e sinonimos,01103,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Pepino fresco,02207
63027,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63027,TREMOCO e sinonimos,01103,2. Hortaliças,2.2 Hortaliças frutosas,x.x.x Pimentão,02208
63028,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63028,GRAO DE BICO,01103,2. Hortaliças,2.2 Hortaliças frutosas,x.x.xx Quiabo,02209
63029,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63029,LENTILHA,01103,2. Hortaliças,2.2 Hortaliças frutosas,x.x.xx Tomate,02210
63030,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63030,SOJA EM GRAO e sinonimos,01103,2. Hortaliças,2.2 Hortaliças frutosas,x.x.xx Vagem,02211
63031,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63031,FEIJAO NAO-ESPECIFICADO e sinonimos,01208,2. Hortaliças,2.2 Hortaliças frutosas,x.x.xx Outrasx.x.x Maxixex.x.x Azeitona em conservax.x.x Outros feijões,02212
63032,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63032,SEMENTE DE ABOBORA,01103,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Alho,02301
63033,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63033,ARROZ PRE-COZIDO e sinonimos,01101,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Batata-doce,02302
63034,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63034,ARROZ (NAO-ESPECIFICADO) e sinonimos,01101,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Batata-inglesa,02303
63035,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63035,QUIRERA NAO-ESPECIFICADA e sinonimos,01101,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Batata não especificadax.x.x Batata-baroax.x.x Batata-aipo,02304
63036,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63036,MILHO DE PIPOCA PARA MICROONDAS,01102,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Beterraba,02305
63037,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63037,SOJA EM GRAO ORGANICA e sinonimos,01103,2. Hortaliças,2.3 Hortaliças tuberosas e outras,x.x.x Cenoura,02306
