0,1,2,3,4,5,6,7,8,9
,,"Tabela 419 - Aquisição (monetária) alimentar domiciliar per capita anual por grupos, subgrupos e produtos e classes de recebimento mensal familiar",,,,,,,
,,Variável - Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas),,,,,,,
,,Total das áreas - POF - Total das áreas,,,,,,,
,,Classes de recebimento mensal familiar - Total,,,,,,,
,,"Grupos, subgrupos e produtos",Ano,,,,,,
,,,1987,1995,2002,2008,,,
7. Carnes,7.1 Carnes bovinas de primeira,7.1.4 Chã-de-dentro,2.222,2.176,0.734,0.805,7.1.4 Chã-de-dentro,,7.1.4 Chã-de-dentro
7. Carnes,7.1 Carnes bovinas de primeira,7.1.5 Contrafilé,1.081,1.325,0.957,0.924,7.1.5 Contrafilé,,7.1.5 Contrafilé
7. Carnes,7.1 Carnes bovinas de primeira,7.1.6 Filé e filé mignon,0.28,0.591,...,...,,,0
7. Carnes,7.1 Carnes bovinas de primeira,7.1.6 Filé mignon,...,...,0.163,0.179,7.1.6 Filé mignon,7.1.6 Filé e filé mignon7.1.6 Filé mignon,7.1.6 Filé e filé mignon7.1.6 Filé mignon
7. Carnes,7.1 Carnes bovinas de primeira,7.1.7 Lagarto comum,0.442,0.606,0.344,0.312,7.1.7 Lagarto comum,,7.1.7 Lagarto comum
7. Carnes,7.1 Carnes bovinas de primeira,7.1.8 Lagarto redondo,0.383,0.164,0.11,0.055,7.1.8 Lagarto redondo,,7.1.8 Lagarto redondo
7. Carnes,7.1 Carnes bovinas de primeira,7.1.9 Patinho,1.209,1.369,0.651,0.589,7.1.9 Patinho,,7.1.9 Patinho
7. Carnes,7.2 Carnes bovinas de segunda,7.2 Carnes bovinas de segunda,8.514,9.078,5.954,5.794,7.2 Carnes bovinas de segunda,,7.2 Carnes bovinas de segunda
7. Carnes,7.2 Carnes bovinas de segunda,7.2.1 Acém,2.013,2.778,1.099,1.075,7.2.1 Acém,,7.2.1 Acém
7. Carnes,7.2 Carnes bovinas de segunda,7.2.2 Capa de filé,...,...,0.18,0.106,7.2.4 Carne bovina de segunda e outras,7.2.2 Capa de filé7.2.4 Carne não especificada7.3.1 Carne de hambúrger7.3.2 Carne de sol7.3.3 Carne moída não especificada7.3.4 Carne não especificada7.3.6 Mocotó7.3.7 Outras,7.2.2 Capa de filé7.2.4 Carne não especificada7.3.1 Carne de hambúrger7.3.2 Carne de sol7.3.3 Carne moída não especificada7.3.4 Carne não especificada7.3.6 Mocotó7.3.7 Outras
7. Carnes,7.2 Carnes bovinas de segunda,7.2.3 Carne moída,0.924,1.196,0.787,0.946,7.2.3 Carne moída,,7.2.3 Carne moída
7. Carnes,7.2 Carnes bovinas de segunda,7.2.4 Carne não especificada,1.993,2.003,1.455,1.128,,,0
7. Carnes,7.2 Carnes bovinas de segunda,7.2.5 Costela,1.502,1.625,1.151,1.235,7.2.5 Costela,,7.2.5 Costela
7. Carnes,7.2 Carnes bovinas de segunda,7.2.6 Músculo,0.425,0.513,0.509,0.354,7.2.6 Músculo,,7.2.6 Músculo
7. Carnes,7.2 Carnes bovinas de segunda,7.2.7 Pá,0.962,0.479,0.439,0.395,7.2.7 Pá,,7.2.7 Pá
7. Carnes,7.2 Carnes bovinas de segunda,7.2.8 Peito,0.369,0.258,0.241,0.214,7.2.8 Peito,,7.2.8 Peito
7. Carnes,7.2 Carnes bovinas de segunda,7.2.9 Outras,0.325,0.226,0.092,0.34,7.2.9 Outras,,7.2.9 Outras
7. Carnes,7.3 Carnes bovinas outras,7.3 Carnes bovinas outras,1.498,1.569,3.051,3.124,,,0
7. Carnes,7.3 Carnes bovinas outras,7.3.1 Carne de hambúrger,...,...,0.294,0.365,,,0
7. Carnes,7.3 Carnes bovinas outras,7.3.2 Carne de sol,...,...,0.048,0.114,,,0
7. Carnes,7.3 Carnes bovinas outras,7.3.3 Carne moída não especificada,...,...,0.484,0.373,,,0
7. Carnes,7.3 Carnes bovinas outras,7.3.4 Carne não especificada,...,...,0.731,0.962,,,0
7. Carnes,7.3 Carnes bovinas outras,7.3.5 Carne-seca,0.838,0.965,0.665,0.493,7.3.5 Carne-seca,,7.3.5 Carne-seca
7. Carnes,7.3 Carnes bovinas outras,7.3.6 Mocotó,...,...,0.116,0.077,,,0
7. Carnes,7.3 Carnes bovinas outras,7.3.7 Outras,0.66,0.605,0.713,0.74,,,0
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4 Carnes suínas com osso e sem osso,2.551,1.49,1.475,1.218,7.4 Carnes suínas com osso e sem osso,,7.4 Carnes suínas com osso e sem osso
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.1 Carré,0.426,0.384,0.484,0.406,7.4.1 Carré,,7.4.1 Carré
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.2 Costela,0.424,0.188,0.223,0.276,7.4.2 Costela,,7.4.2 Costela
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.3 Lombo,0.371,0.288,0.285,0.071,7.4.3 Lombo,,7.4.3 Lombo
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.4 Pernil,0.682,0.306,0.22,0.161,7.4.4 Pernil,,7.4.4 Pernil
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.5 Toucinho,0.361,0.196,...,...,,,0
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.5 Porco eviscerado,...,...,-,0.002,,,0
7. Carnes,7.4 Carnes suínas com osso e sem osso,7.4.6 Outras,0.287,0.128,0.263,0.303,7.4.6 Outras,7.4.5 Porco eviscerado7.4.6 Outras,7.4.5 Porco eviscerado7.4.6 Outras
7. Carnes,7.5 Carnes suínas outras,7.5 Carnes suínas outras,2.203,2.998,3.106,3.509,7.5 Carnes suínas outras,,7.5 Carnes suínas outras
7. Carnes,7.5 Carnes suínas outras,7.5.1 Cane salgada não especificada,...,...,0.082,0.098,,,0
7. Carnes,7.5 Carnes suínas outras,7.5.2 Costela de porco salgada,...,...,0.029,0.055,,,0
7. Carnes,7.5 Carnes suínas outras,7.5.3 Mortadela,0.315,0.524,0.669,0.743,7.5.3 Mortadela,,7.5.3 Mortadela
7. Carnes,7.5 Carnes suínas outras,7.5.4 Paio,...,...,0.041,0.019,,,0
7. Carnes,7.5 Carnes suínas outras,7.5.5 Pé de porco salgado,...,...,0.029,0.028,,,0
7. Carnes,7.5 Carnes suínas outras,7.5.6 Presunto,0.38,0.551,0.609,0.59,7.5.6 Presunto,,7.5.6 Presunto
7. Carnes,7.5 Carnes suínas outras,7.5.7 Salame,...,...,0.075,0.089,,,0
7. Carnes,7.5 Carnes suínas outras,7.5.8 Salsicha,0.452,1.352,...,...,7.5.8 Salsicha,7.5.8 Salsicha7.5.8 Salsicha comum,7.5.8 Salsicha7.5.8 Salsicha comum
7. Carnes,7.5 Carnes suínas outras,7.5.8 Salsicha comum,...,...,1.237,1.482,,,0
7. Carnes,7.5 Carnes suínas outras,7.5.9 Toucinho fresco,...,...,0.084,0.123,7.5.9 Toucinho fresco,7.5.9 Toucinho fresco7.5.10 Toucinho defumado7.4.5 Toucinho,7.5.9 Toucinho fresco7.5.10 Toucinho defumado7.4.5 Toucinho
7. Carnes,7.5 Carnes suínas outras,7.5.10 Toucinho defumado,...,...,0.177,0.155,7.5.10 Toucinho defumado,,7.5.10 Toucinho defumado
7. Carnes,7.5 Carnes suínas outras,7.5.11 Outras,1.055,0.571,0.074,0.128,7.5.11 Outras,7.5.11 Outras7.5.1 Cane salgada não especificada7.5.2 Costela de porco salgada7.5.4 Paio7.5.5 Pé de porco salgado7.5.7 Salame,7.5.11 Outras7.5.1 Cane salgada não especificada7.5.2 Costela de porco salgada7.5.4 Paio7.5.5 Pé de porco salgado7.5.7 Salame
7. Carnes,7.6 Carnes de outros animais,7.6 Carnes de outros animais,1,1.84,2.587,2.448,7.6 Carnes de outros animais,,7.6 Carnes de outros animais
7. Carnes,7.6 Carnes de outros animais,7.6.1 Carne de cabrito,...,...,0.078,0.011,,,0
7. Carnes,7.6 Carnes de outros animais,7.6.2 Carne de carneiro,...,...,0.02,0.05,,,0
7. Carnes,7.6 Carnes de outros animais,7.6.3 Linguiça,0.932,1.751,2.184,2.242,7.6.3 Linguiça,,7.6.3 Linguiça
7. Carnes,7.6 Carnes de outros animais,7.6.4 Outras,0.068,0.089,0.305,0.145,7.6.4 Outras,7.6.4 Outras7.6.1 Carne de cabrito7.6.2 Carne de carneiro,7.6.4 Outras7.6.1 Carne de cabrito7.6.2 Carne de carneiro
8. Vísceras,NADA,8. Vísceras,1.643,1.153,1.015,0.677,8. Vísceras,,8. Vísceras
8. Vísceras,8.1 Vísceras bovinas,8.1 Vísceras bovinas,1.482,1.089,0.888,0.592,8.1 Vísceras bovinas,,8.1 Vísceras bovinas
8. Vísceras,8.1 Vísceras bovinas,8.1.1 Bucho,...,...,0.125,0.058,,,0
8. Vísceras,8.1 Vísceras bovinas,8.1.2 Fígado,0.73,0.691,0.568,0.423,8.1.2 Fígado,,8.1.2 Fígado
8. Vísceras,8.1 Vísceras bovinas,8.1.3 Língua,...,...,0.059,0.018,,,0
8. Vísceras,8.1 Vísceras bovinas,8.1.4 Outras,0.752,0.398,0.136,0.093,8.1.4 Outras,8.1.4 Outras8.1.1 Bucho8.1.3 Língua,8.1.4 Outras8.1.1 Bucho8.1.3 Língua
8. Vísceras,8.1 Vísceras bovinas,8.2 Vísceras suínas,0.148,0.057,0.116,0.078,,,0
8. Vísceras,8.1 Vísceras bovinas,8.2.1 Vísceras suínas,0.148,0.057,...,...,8.2.1 Vísceras suínas,8.2.1 Vísceras suínas8.2 Vísceras suínas,8.2.1 Vísceras suínas8.2 Vísceras suínas
8. Vísceras,8.1 Vísceras bovinas,8.3 Outras vísceras,0.013,0.007,0.011,0.007,,,0
8. Vísceras,8.1 Vísceras bovinas,8.3.1 Outras vísceras,0.013,0.007,...,...,8.3.1 Outras vísceras,8.3.1 Outras vísceras8.3 Outras vísceras,8.3.1 Outras vísceras8.3 Outras vísceras
9. Pescados,NADA,9. Pescados,3.561,3.021,2.858,2.734,9. Pescados,,9. Pescados
9. Pescados,9.1 Pescados de água salgada,9.1 Pescados de água salgada,3.183,2.723,2.146,1.975,9.1 Pescados de água salgada,,9.1 Pescados de água salgada
9. Pescados,9.1 Pescados de água salgada,9.1.1 Anchova fresca,...,...,0.034,0.012,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.2 Bacalhau,0.113,0.178,0.088,0.097,9.1.2 Bacalhau,,9.1.2 Bacalhau
9. Pescados,9.1 Pescados de água salgada,9.1.3 Bagre fresco,...,...,0.019,0.014,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.4 Cação fresco,...,...,0.033,0.04,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.5 Camarão fresco,0.15,0.093,0.131,0.19,9.1.5 Camarão fresco,,9.1.5 Camarão fresco
9. Pescados,9.1 Pescados de água salgada,9.1.6 Corvina fresca,0.368,0.332,0.335,0.203,9.1.6 Corvina fresca,,9.1.6 Corvina fresca
9. Pescados,9.1 Pescados de água salgada,9.1.7 Meluza em filé congelado,...,...,0.028,0.091,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.8 Merluza em filé fresco,...,...,0.064,0.022,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.9 Parati fresco,...,...,0.029,0.002,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.10 Pescada em filé congelado,...,...,0.043,0.041,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.11 Pescada em filé fresco,0.123,0.109,0.052,0.031,9.1.11 Pescada em filé fresco,,9.1.11 Pescada em filé fresco
9. Pescados,9.1 Pescados de água salgada,9.1.12 Pescada fresca,0.239,0.252,0.18,0.176,9.1.12 Pescada fresca,,9.1.12 Pescada fresca
9. Pescados,9.1 Pescados de água salgada,9.1.13 Pescadinha fresca,0.076,0.052,0.056,0.014,9.1.13 Pescadinha fresca,,9.1.13 Pescadinha fresca
9. Pescados,9.1 Pescados de água salgada,9.1.14 Sardinha em conserva,0.231,0.124,0.136,0.119,9.1.14 Sardinha em conserva,,9.1.14 Sardinha em conserva
9. Pescados,9.1 Pescados de água salgada,9.1.15 Sardinha fresca,0.545,0.328,0.123,0.101,9.1.15 Sardinha fresca,,9.1.15 Sardinha fresca
9. Pescados,9.1 Pescados de água salgada,9.1.16 Tainha fresca,...,...,0.054,0.03,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.17 Outros pescados em filé congelado,...,...,0.067,0.214,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.18 Outros pescados em filé fresco,...,...,0.278,0.148,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.19 Outros pescados frescos,...,...,0.365,0.402,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.20 Outros pescados salgados,...,...,0.031,0.029,,,0
9. Pescados,9.1 Pescados de água salgada,9.1.21 Outros,1.339,1.256,...,...,9.1.21 Outros,9.1.21 Outros9.1.1 Anchova fresca9.1.3 Bagre fresco9.1.4 Cação fresco9.1.7 Meluza em filé congelado9.1.8 Merluza em filé fresco9.1.9 Parati fresco9.1.10 Pescada em filé congelado9.1.16 Tainha fresca9.1.17 Outros pescados em filé congelado9.1.18 Outros pescados em filé fresco9.1.19 Outros pescados frescos9.1.20 Outros pescados salgados,9.1.21 Outros9.1.1 Anchova fresca9.1.3 Bagre fresco9.1.4 Cação fresco9.1.7 Meluza em filé congelado9.1.8 Merluza em filé fresco9.1.9 Parati fresco9.1.10 Pescada em filé congelado9.1.16 Tainha fresca9.1.17 Outros pescados em filé congelado9.1.18 Outros pescados em filé fresco9.1.19 Outros pescados frescos9.1.20 Outros pescados salgados
9. Pescados,9.2 Pescados de água doce e congelados,9.2 Pescados de água doce,0.378,0.298,0.362,0.378,9.2 Pescados de água doce,9.2.1 Pescados de água doce9.2.1 Acará fresca9.2.2 Acari fresco9.2.3 Anujá fresco9.2.4 Curimatã fresco9.2.5 Dourada fresca9.2.6 Jaraqui fresco9.2.7 Lambari fresco9.2.8 Mapará fresco9.2.9 Piau fresco9.2.10 Surubim fresco9.2.11 Tambaqui fresco9.2.12 Tilápia fresca9.2.13 Traíra fresca9.2.14 Tucunaré fresco9.2.15 Outros pescados em filé congelado9.2.16 Outros pescados em filé fresco9.2.17 Outros pescados frescos9.2.18 Outros pescados salgados9.3 Pescados não especificados9.3.1 Peixe em filé congelado9.3.2 Peixe em filé fresco9.3.3 Peixe fresco9.3.4 Peixe salgado,9.2.1 Pescados de água doce9.2.1 Acará fresca9.2.2 Acari fresco9.2.3 Anujá fresco9.2.4 Curimatã fresco9.2.5 Dourada fresca9.2.6 Jaraqui fresco9.2.7 Lambari fresco9.2.8 Mapará fresco9.2.9 Piau fresco9.2.10 Surubim fresco9.2.11 Tambaqui fresco9.2.12 Tilápia fresca9.2.13 Traíra fresca9.2.14 Tucunaré fresco9.2.15 Outros pescados em filé congelado9.2.16 Outros pescados em filé fresco9.2.17 Outros pescados frescos9.2.18 Outros pescados salgados9.3 Pescados não especificados9.3.1 Peixe em filé congelado9.3.2 Peixe em filé fresco9.3.3 Peixe fresco9.3.4 Peixe salgado
9. Pescados,9.2 Pescados de água doce e congelados,9.2.1 Pescados de água doce,0.378,0.298,...,...,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.1 Acará fresca,...,...,0.06,0.12,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.2 Acari fresco,...,...,0.002,0.015,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.3 Anujá fresco,...,...,0.033,0.006,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.4 Curimatã fresco,...,...,0.008,0.01,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.5 Dourada fresca,...,...,0.092,0.06,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.6 Jaraqui fresco,...,...,-,-,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.7 Lambari fresco,...,...,0,-,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.8 Mapará fresco,...,...,0.006,0.001,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.9 Piau fresco,...,...,0.003,-,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.10 Surubim fresco,...,...,0.007,0.005,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.11 Tambaqui fresco,...,...,-,0.004,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.12 Tilápia fresca,...,...,0.022,0.038,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.13 Traíra fresca,...,...,0.012,0.001,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.14 Tucunaré fresco,...,...,0.003,0.007,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.15 Outros pescados em filé congelado,...,...,0.018,0.03,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.16 Outros pescados em filé fresco,...,...,0.02,0.014,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.17 Outros pescados frescos,...,...,0.076,0.068,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.2.18 Outros pescados salgados,...,...,0.001,0.001,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.3 Pescados não especificados,...,...,0.349,0.381,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.3.1 Peixe em filé congelado,...,...,0.005,0.035,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.3.2 Peixe em filé fresco,...,...,0.003,0.01,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.3.3 Peixe fresco,...,...,0.329,0.333,,,0
9. Pescados,9.2 Pescados de água doce e congelados,9.3.4 Peixe salgado,...,...,0.013,0.003,,,0
10. Aves e ovos,NADA,10. Aves e ovos,22.17,21.816,15.028,15.654,10. Aves e ovos,,10. Aves e ovos
10. Aves e ovos,10.1 Aves,10.1 Aves,15.16,17.499,14.273,12.587,10.1 Aves,,10.1 Aves
10. Aves e ovos,10.1 Aves,10.1.1 Asa de galinha,0.279,0.315,...,...,,,0
10. Aves e ovos,10.1 Aves,10.1.1 Asa de frango,...,...,0.532,0.603,10.1.1 Asa de frango,10.1.1 Asa de frango10.1.1 Asa de galinha,10.1.1 Asa de frango10.1.1 Asa de galinha
10. Aves e ovos,10.1 Aves,10.1.2 Carne não especificada de galinha,0.499,0.192,...,...,,,0
10. Aves e ovos,10.1 Aves,10.1.2 Carne de frango não especificada,...,...,0.307,0.718,10.1.2 Carne de frango não especificada,10.1.2 Carne de frango não especificada10.1.2 Carne não especificada de galinha,10.1.2 Carne de frango não especificada10.1.2 Carne não especificada de galinha
10. Aves e ovos,10.1 Aves,10.1.3 Coxa de galinha,0.559,0.904,...,...,,,0
10. Aves e ovos,10.1 Aves,10.1.3 Coxa de frango,...,...,1.671,1.864,10.1.3 Coxa de frango,10.1.3 Coxa de frango10.1.3 Coxa de galinha,10.1.3 Coxa de frango10.1.3 Coxa de galinha
10. Aves e ovos,10.1 Aves,10.1.4 Dorso de frango,...,...,0.085,0.175,,,0
10. Aves e ovos,10.1 Aves,10.1.5 Frango abatido,11.097,13.635,...,...,,,0
10. Aves e ovos,10.1 Aves,10.1.5 Frango abatido (inteiro),...,...,8.839,6.192,10.1.5 Frango abatido (inteiro),10.1.5 Frango abatido (inteiro)10.1.5 Frango abatido,10.1.5 Frango abatido (inteiro)10.1.5 Frango abatido
10. Aves e ovos,10.1 Aves,10.1.6 Frango vivo,1.283,0.244,0.222,0.085,10.1.6 Frango vivo,,10.1.6 Frango vivo
10. Aves e ovos,10.1 Aves,10.1.7 Miúdos de frango,...,...,0.189,0.225,,,0
10. Aves e ovos,10.1 Aves,10.1.8 Peito de galinha,0.582,1.551,...,...,,,0
10. Aves e ovos,10.1 Aves,10.1.8 Peito de frango,...,...,1.928,2.288,10.1.8 Peito de frango,10.1.8 Peito de frango10.1.8 Peito de galinha,10.1.8 Peito de frango10.1.8 Peito de galinha
10. Aves e ovos,10.1 Aves,10.1.9 Outras carnes de frango,...,...,0.079,0.19,,,0
10. Aves e ovos,10.1 Aves,10.1.10 Pato inteiro ou em cortes,...,...,0.004,-,,,0
10. Aves e ovos,10.1 Aves,10.1.11 Peru abatido,...,...,0.159,0.046,,,0
10. Aves e ovos,10.1 Aves,10.1.12 Peru em cortes,...,...,0.123,0.156,,,0
10. Aves e ovos,10.1 Aves,10.1.13 Outras,0.86,0.658,0.135,0.044,10.1.13 Outros Frangos Peru e outros,10.1.13 Outras10.1.4 Dorso de frango10.1.7 Miúdos de frango10.1.9 Outras carnes de frango10.1.10 Pato inteiro ou em cortes10.1.11 Peru abatido10.1.12 Peru em cortes,10.1.13 Outras10.1.4 Dorso de frango10.1.7 Miúdos de frango10.1.9 Outras carnes de frango10.1.10 Pato inteiro ou em cortes10.1.11 Peru abatido10.1.12 Peru em cortes
10. Aves e ovos,10.2 Ovos,10.2 Ovos,7.01,4.316,0.754,3.067,10.2 Ovos,,10.2 Ovos
10. Aves e ovos,10.2 Ovos,10.2.1 Ovo de galinha,6.97,4.316,0.754,3.049,10.2.1 Ovo de galinha,,10.2.1 Ovo de galinha
10. Aves e ovos,10.2 Ovos,10.2.2 Outros,0.04,-,0,0.018,10.2.2 Outros,,10.2.2 Outros
11. Laticínios,NADA,11. Laticínios,70.424,59.243,47.705,43.522,11. Laticínios,,11. Laticínios
11. Laticínios,11.1 Leite e creme de leite,11.1 Leite e creme de leite,66.36,55.193,41.218,37.054,11.1 Leite e creme de leite,,11.1 Leite e creme de leite
11. Laticínios,11.1 Leite e creme de leite,11.1.1 Creme de leite em conserva,0.296,0.283,...,...,,,0
11. Laticínios,11.1 Leite e creme de leite,11.1.1 Creme de leite,...,...,0.38,0.404,11.1.1 Creme de leite,11.1.1 Creme de leite11.1.1 Creme de leite em conserva,11.1.1 Creme de leite11.1.1 Creme de leite em conserva
11. Laticínios,11.1 Leite e creme de leite,11.1.2 Leite condensado,0.753,0.532,0.72,0.772,11.1.2 Leite condensado,,11.1.2 Leite condensado
11. Laticínios,11.1 Leite e creme de leite,11.1.3 Leite de vaca fresco,1.608,1.126,0.918,0.645,11.1.3 Leite de vaca fresco,,11.1.3 Leite de vaca fresco
11. Laticínios,11.1 Leite e creme de leite,11.1.4 Leite de vaca pasteurizado,62.343,51.36,36.883,32.833,11.1.4 Leite de vaca pasteurizado,,11.1.4 Leite de vaca pasteurizado
11. Laticínios,11.1 Leite e creme de leite,11.1.5 Leite em pó desengordurado,...,...,0.078,0.119,,,0
11. Laticínios,11.1 Leite e creme de leite,11.1.6 Leite em pó integral,0.846,1.389,0.915,0.843,11.1.6 Leite em pó,11.1.6 Leite em pó integral11.1.5 Leite em pó desengordurado11.1.7 Leite em pó não especificado,11.1.6 Leite em pó integral11.1.5 Leite em pó desengordurado11.1.7 Leite em pó não especificado
11. Laticínios,11.1 Leite e creme de leite,11.1.7 Leite em pó não especificado,...,...,0.556,0.058,,,0
11. Laticínios,11.1 Leite e creme de leite,11.1.8 Outros,0.514,0.503,0.769,1.38,11.1.8 Outros,,11.1.8 Outros
11. Laticínios,11.2 Queijos e requeijão,11.2 Queijos e requeijão,2.296,2.612,2.675,2.634,11.2 Queijos e requeijão,,11.2 Queijos e requeijão
11. Laticínios,11.2 Queijos e requeijão,11.2.1 Queijo minas,0.724,0.808,0.669,0.791,11.2.1 Queijo minas,,11.2.1 Queijo minas
11. Laticínios,11.2 Queijos e requeijão,11.2.2 Queijo mozarela,0.349,0.51,0.592,0.817,11.2.2 Queijo mozarela,,11.2.2 Queijo mozarela
11. Laticínios,11.2 Queijos e requeijão,11.2.3 Queijo não especificado,...,...,0.241,0.095,,,0
11. Laticínios,11.2 Queijos e requeijão,11.2.4 Queijo parmezão,...,...,0.098,0.088,,,0
11. Laticínios,11.2 Queijos e requeijão,11.2.5 Queijo prato,0.7,0.706,0.533,0.405,11.2.5 Queijo prato,,11.2.5 Queijo prato
11. Laticínios,11.2 Queijos e requeijão,11.2.6 Outros queijos,0.347,0.306,0.146,0.113,11.2.6 Outros queijos,11.2.6 Outros queijos11.2.3 Queijo não especificado11.2.4 Queijo parmezão,11.2.6 Outros queijos11.2.3 Queijo não especificado11.2.4 Queijo parmezão
11. Laticínios,11.2 Queijos e requeijão,11.2.7 Requeijão,0.177,0.282,0.396,0.324,11.2.7 Requeijão,,11.2.7 Requeijão
11. Laticínios,11.3 Outros laticínios,11.3 Outros laticínios,1.768,1.438,3.812,3.834,11.3 Outros laticínios,,11.3 Outros laticínios
11. Laticínios,11.3 Outros laticínios,11.3.1 Iogurte,1.147,0.732,2.76,2.418,11.3.1 Iogurte,,11.3.1 Iogurte
11. Laticínios,11.3 Outros laticínios,11.3.2 Leite fermentado,...,...,0.551,1.005,11.3.2 Leite fermentado,,11.3.2 Leite fermentado
11. Laticínios,11.3 Outros laticínios,11.3.3 Manteiga,0.448,0.405,0.447,0.328,11.3.3 Manteiga,,11.3.3 Manteiga
11. Laticínios,11.3 Outros laticínios,11.3.4 Outros,0.173,0.301,0.054,0.083,11.3.4 Outros,,11.3.4 Outros
12. Açúcares e produtos de confeitaria,NADA,12. Açúcares e produtos de confeitaria,25.824,22.483,...,...,,,0
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria","12. Açúcares, doces e produtos de confeitaria",...,...,17.847,16.416,"12. Açúcares, doces e produtos de confeitaria","12. Açúcares, doces e produtos de confeitaria12. Açúcares e produtos de confeitaria","12. Açúcares, doces e produtos de confeitaria12. Açúcares e produtos de confeitaria"
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria",12.1 Açúcares,22.391,20.1,14.653,12.859,12.1 Açúcares,,12.1 Açúcares
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria",12.1.1 Açúcar cristal,6.745,6.865,4.883,6.142,12.1.1 Açúcar cristal,,12.1.1 Açúcar cristal
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria",12.1.2 Açúcar demerara,...,...,0.034,0.258,,,0
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria",12.1.3 Açúcar não especificado,...,...,2.06,3.137,,,0
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria",12.1.4 Açúcar refinado,15.609,13.204,7.62,3.271,12.1.4 Açúcar refinado,12.1.4 Açúcar refinado12.1.3 Açúcar não especificado12.1.2 Açúcar demerara,12.1.4 Açúcar refinado12.1.3 Açúcar não especificado12.1.2 Açúcar demerara
12. Açúcares e produtos de confeitaria,"12. Açúcares, doces e produtos de confeitaria",12.1.5 Outros,0.037,0.031,0.056,0.051,12.1.5 Outros,,12.1.5 Outros
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2 Doces e derivados,2.729,1.666,...,...,,,0
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2 Doces e produtos de confeitaria,...,...,2.067,2.58,12.2 Doces e produtos de confeitaria,12.2 Doces e produtos de confeitaria12.2 Doces e derivados,12.2 Doces e produtos de confeitaria12.2 Doces e derivados
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2.1 Bombom,0.147,-,0.179,0.229,,,0
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2.2 Chiclete,0.147,-,...,...,,,0
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2.2 Chocolate em tablete,...,...,0.118,0.19,,,0
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2.3 Doce a base de leite,0.228,0.133,0.155,0.118,12.2.3 Doce a base de leite,,12.2.3 Doce a base de leite
12. Açúcares e produtos de confeitaria,12.2 Doces e derivados,12.2.4 Doce de fruta cristalizado,...,...,0.018,0.015,,,0
