0,1,2,3,4,5,6,7,8,9
,,"Tabela 419 - Aquisição (monetária) alimentar domiciliar per capita anual por grupos, subgrupos e produtos e classes de recebimento mensal familiar",,,,,,,
,,Variável - Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas),,,,,,,
,,Total das áreas - POF - Total das áreas,,,,,,,
,,Classes de recebimento mensal familiar - Total,,,,,,,
,,"Grupos, subgrupos e produtos",Ano,,,,,,
,,,1987,1995,2002,2008,,,
2. Hortaliças,2.2 Hortaliças frutosas,2.2.3 Azeitona em conserva,...,...,0.142,0.145,,,0
2. Hortaliças,2.2 Hortaliças frutosas,2.2.4 Berinjela,0.318,0.195,0.319,0.254,2.2.4 Berinjela,,2.2.4 Berinjela
2. Hortaliças,2.2 Hortaliças frutosas,2.2.5 Cebola,...,...,3.567,3.19,2.2.5 Cebola,2.2.5 Cebola2.3.8 Cebola fresca,2.2.5 Cebola2.3.8 Cebola fresca
2. Hortaliças,2.2 Hortaliças frutosas,2.2.6 Chuchu,1.669,1.522,0.968,0.942,2.2.6 Chuchu,,2.2.6 Chuchu
2. Hortaliças,2.2 Hortaliças frutosas,2.2.7 Jiló,0.404,0.382,0.239,0.124,2.2.7 Jiló,,2.2.7 Jiló
2. Hortaliças,2.2 Hortaliças frutosas,2.2.8 Maxixe,...,...,0.069,0.025,,,0
2. Hortaliças,2.2 Hortaliças frutosas,2.2.9 Pepino fresco,0.507,0.525,0.509,0.447,2.2.9 Pepino fresco,,2.2.9 Pepino fresco
2. Hortaliças,2.2 Hortaliças frutosas,2.2.10 Pimentão,0.809,1.042,0.75,0.659,2.2.10 Pimentão,,2.2.10 Pimentão
2. Hortaliças,2.2 Hortaliças frutosas,2.2.11 Quiabo,0.382,0.438,0.371,0.2,2.2.11 Quiabo,,2.2.11 Quiabo
2. Hortaliças,2.2 Hortaliças frutosas,2.2.12 Tomate,6.289,5.63,4.745,4.606,2.2.12 Tomate,,2.2.12 Tomate
2. Hortaliças,2.2 Hortaliças frutosas,2.2.13 Vagem,0.657,0.502,0.3,0.193,2.2.13 Vagem,,2.2.13 Vagem
2. Hortaliças,2.2 Hortaliças frutosas,2.2.14 Outras,0.513,0.475,0.447,0.099,2.2.14 Outras,2.2.14 Outras2.2.8 Maxixe2.2.3 Azeitona em conserva1.2.8 Outros feijões,2.2.14 Outras2.2.8 Maxixe2.2.3 Azeitona em conserva1.2.8 Outros feijões
2. Hortaliças,2.2 Hortaliças frutosas,2.3 Hortaliças tuberosas e outras,26.333,19.301,12.393,11.036,2.3 Hortaliças tuberosas e outras,,2.3 Hortaliças tuberosas e outras
2. Hortaliças,2.3.1 Alho,2.3.1 Alho,0.32,0.337,0.409,0.482,2.3.1 Alho,,2.3.1 Alho
2. Hortaliças,2.3.1 Alho,2.3.2 Batata-aipo,...,...,0.083,0.136,,,0
2. Hortaliças,2.3.1 Alho,2.3.3 Batata-baroa,...,...,0.082,0.076,,,0
2. Hortaliças,2.3.1 Alho,2.3.4 Batata-doce,0.739,0.647,0.405,0.38,2.3.4 Batata-doce,,2.3.4 Batata-doce
2. Hortaliças,2.3.1 Alho,2.3.5 Batata-inglesa,13.042,9.218,5.149,4.113,2.3.5 Batata-inglesa,,2.3.5 Batata-inglesa
2. Hortaliças,2.3.1 Alho,2.3.6 Batata não especificada,...,...,1.802,1.863,2.3.6 Batata não especificada,2.3.6 Batata não especificada2.3.3 Batata-baroa2.3.2 Batata-aipo,2.3.6 Batata não especificada2.3.3 Batata-baroa2.3.2 Batata-aipo
2. Hortaliças,2.3.1 Alho,2.3.7 Beterraba,0.919,0.706,0.465,0.489,2.3.7 Beterraba,,2.3.7 Beterraba
2. Hortaliças,2.3.1 Alho,2.3.8 Cebola fresca,6.541,4.064,...,...,,,0
2. Hortaliças,2.3.1 Alho,2.3.8 Cará,...,...,0.09,0.109,,,0
2. Hortaliças,2.3.1 Alho,2.3.9 Cenoura,2.711,2.666,2.104,1.796,2.3.9 Cenoura,,2.3.9 Cenoura
2. Hortaliças,2.3.1 Alho,2.3.10 Inhame,0.533,0.339,0.387,0.35,2.3.10 Inhame,,2.3.10 Inhame
2. Hortaliças,2.3.1 Alho,2.3.11 Mandioca,0.995,0.936,0.998,1.098,2.3.11 Mandioca,,2.3.11 Mandioca
2. Hortaliças,2.3.1 Alho,2.3.12 Outras,0.534,0.388,0.419,0.142,2.3.12 Outras,2.3.12 Outras2.3.8 Cará,2.3.12 Outras2.3.8 Cará
3. Frutas,NADA,3. Frutas,47.984,40.397,28.12,30.757,3. Frutas,,3. Frutas
3. Frutas,3.1 Frutas de clima tropical,3.1 Frutas de clima tropical,43.876,33.658,24.138,26.223,3.1 Frutas de clima tropical,,3.1 Frutas de clima tropical
3. Frutas,3.1 Frutas de clima tropical,3.1.1 Abacate,0.533,0.37,0.423,0.304,3.1.1 Abacate,,3.1.1 Abacate
3. Frutas,3.1 Frutas de clima tropical,3.1.2 Abacaxi,2.922,1.078,1.051,1.366,3.1.2 Abacaxi,,3.1.2 Abacaxi
3. Frutas,3.1 Frutas de clima tropical,3.1.3 Acerola,...,...,0.089,0.117,,,0
3. Frutas,3.1 Frutas de clima tropical,3.1.4 Banana-d'água,4.533,3.325,1.821,2.322,3.1.4 Banana-d'água,,3.1.4 Banana-d'água
3. Frutas,3.1 Frutas de clima tropical,3.1.5 Banana-da-terra,...,...,0.172,0.322,,,0
3. Frutas,3.1 Frutas de clima tropical,3.1.6 Banana-maçã,0.455,0.28,0.211,0.145,3.1.6 Banana-maçã,,3.1.6 Banana-maçã
3. Frutas,3.1 Frutas de clima tropical,3.1.7 Banana-ouro,...,...,0.011,0.004,,,0
3. Frutas,3.1 Frutas de clima tropical,3.1.8 Banana-prata,5.336,3.715,3.565,3.172,3.1.8 Banana-prata,,3.1.8 Banana-prata
3. Frutas,3.1 Frutas de clima tropical,3.1.9 Outras bananas,...,...,1.708,1.861,3.1.9 Outras bananas,3.1.9 Outras bananas3.1.7 Banana-ouro3.1.5 Banana-da-terra,3.1.9 Outras bananas3.1.7 Banana-ouro3.1.5 Banana-da-terra
3. Frutas,3.1 Frutas de clima tropical,3.1.10 Goiaba,...,...,0.377,0.423,,,0
3. Frutas,3.1 Frutas de clima tropical,3.1.11 Laranja-baía,1.482,0.151,0.07,0.179,3.1.11 Laranja-baía,,3.1.11 Laranja-baía
3. Frutas,3.1 Frutas de clima tropical,3.1.12 Laranja-lima,1.164,0.692,0.522,0.579,3.1.12 Laranja-lima,,3.1.12 Laranja-lima
3. Frutas,3.1 Frutas de clima tropical,3.1.13 Laranja-pêra,12.366,11.272,2.893,3.53,3.1.13 Laranja-pêra,,3.1.13 Laranja-pêra
3. Frutas,3.1 Frutas de clima tropical,3.1.14 Laranja-seleta,1.931,0.319,0.118,0.139,3.1.14 Laranja-seleta,,3.1.14 Laranja-seleta
3. Frutas,3.1 Frutas de clima tropical,3.1.15 Outras laranjas,...,...,2.027,1.975,,,0
3. Frutas,3.1 Frutas de clima tropical,3.1.16 Limão comum,0.802,0.825,0.765,0.851,3.1.16 Limão comum,,3.1.16 Limão comum
3. Frutas,3.1 Frutas de clima tropical,3.1.17 Mamão,5.351,3.094,2.513,2.783,3.1.17 Mamão,,3.1.17 Mamão
3. Frutas,3.1 Frutas de clima tropical,3.1.18 Manga,0.887,1.258,1.075,1.098,3.1.18 Manga,,3.1.18 Manga
3. Frutas,3.1 Frutas de clima tropical,3.1.19 Maracujá,0.284,0.96,0.429,0.321,3.1.19 Maracujá,,3.1.19 Maracujá
3. Frutas,3.1 Frutas de clima tropical,3.1.20 Melancia,2.032,2.487,2.104,2.447,3.1.20 Melancia,,3.1.20 Melancia
3. Frutas,3.1 Frutas de clima tropical,3.1.21 Melão,0.935,0.804,0.529,0.59,3.1.21 Melão,,3.1.21 Melão
3. Frutas,3.1 Frutas de clima tropical,3.1.22 Tangerina,1.556,1.184,1.29,1.364,3.1.22 Tangerina,,3.1.22 Tangerina
3. Frutas,3.1 Frutas de clima tropical,3.1.23 Outras,1.306,1.844,0.375,0.332,3.1.23 Outras,3.1.23 Outras3.1.15 Outras laranjas3.1.10 Goiaba3.1.3 Acerola,3.1.23 Outras3.1.15 Outras laranjas3.1.10 Goiaba3.1.3 Acerola
3. Frutas,3.2 Frutas de clima temperado,3.2 Frutas de clima temperado,4.108,6.738,3.982,4.534,3.2 Frutas de clima temperado,,3.2 Frutas de clima temperado
3. Frutas,3.2 Frutas de clima temperado,3.2.1 Ameixa,...,...,0.087,0.174,,,0
3. Frutas,3.2 Frutas de clima temperado,3.2.2 Caqui,0.387,0.149,0.218,0.234,3.2.2 Caqui,,3.2.2 Caqui
3. Frutas,3.2 Frutas de clima temperado,3.2.3 Maçã,2.176,2.907,2.069,2.32,3.2.3 Maçã,,3.2.3 Maçã
3. Frutas,3.2 Frutas de clima temperado,3.2.4 Morango,...,...,0.129,0.183,,,0
3. Frutas,3.2 Frutas de clima temperado,3.2.5 Pêra,0.411,1.084,0.347,0.51,3.2.5 Pêra,,3.2.5 Pêra
3. Frutas,3.2 Frutas de clima temperado,3.2.6 Pêssego,...,...,0.254,0.209,,,0
3. Frutas,3.2 Frutas de clima temperado,3.2.7 Uva,0.438,1.406,0.803,0.799,3.2.7 Uva,,3.2.7 Uva
3. Frutas,3.2 Frutas de clima temperado,3.2.8 Outras,0.696,1.191,0.075,0.105,3.2.8 Outras,3.2.8 Outras3.2.6 Pêssego3.2.4 Morango3.2.1 Ameixa,3.2.8 Outras3.2.6 Pêssego3.2.4 Morango3.2.1 Ameixa
