0,1,2,3,4,6,7,8
2. Hortaliças,2.2 Hortaliças frutosas,2.2.1 Abóbora comum,2.2.1 Abóbora comum2.2.1 Abóbora,True,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.5 Batata-inglesa
2. Hortaliças,2.2 Hortaliças frutosas,2.2.1 Abóbora,,False,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.6 Batata não especificada2.3.3 Batata-baroa2.3.2 Batata-aipo
2. Hortaliças,2.2 Hortaliças frutosas,2.2.2 Abobrinha,2.2.2 Abobrinha,True,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.7 Beterraba
2. Hortaliças,2.2 Hortaliças frutosas,2.2.3 Azeitona em conserva,,False,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.9 Cenoura
2. Hortaliças,2.2 Hortaliças frutosas,2.2.4 Berinjela,2.2.4 Berinjela,True,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.1 Inhame
2. Hortaliças,2.2 Hortaliças frutosas,2.2.5 Cebola,2.2.5 Cebola2.3.8 Cebola fresca,True,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.11 Mandioca
2. Hortaliças,2.2 Hortaliças frutosas,2.2.6 Chuchu,2.2.6 Chuchu,True,2. Hortaliças,2.3 Hortaliças tuberosas e outras,2.3.12 Outras2.3.8 Cará
2. Hortaliças,2.2 Hortaliças frutosas,2.2.7 Jiló,2.2.7 Jiló,True,3. Frutas,3.1 Frutas de clima tropical,3.1.1 Abacate
2. Hortaliças,2.2 Hortaliças frutosas,2.2.8 Maxixe,,False,3. Frutas,3.1 Frutas de clima tropical,3.1.2 Abacaxi
2. Hortaliças,2.2 Hortaliças frutosas,2.2.9 Pepino fresco,2.2.9 Pepino fresco,True,3. Frutas,3.1 Frutas de clima tropical,3.1.4 Banana-d'água
2. Hortaliças,2.2 Hortaliças frutosas,2.2.10 Pimentão,2.2.1 Pimentão,True,3. Frutas,3.1 Frutas de clima tropical,3.1.6 Banana-maçã
2. Hortaliças,2.2 Hortaliças frutosas,2.2.11 Quiabo,2.2.11 Quiabo,True,3. Frutas,3.1 Frutas de clima tropical,3.1.8 Banana-prata
2. Hortaliças,2.2 Hortaliças frutosas,2.2.12 Tomate,2.2.12 Tomate,True,3. Frutas,3.1 Frutas de clima tropical,3.1.9 Outras bananas3.1.7 Banana-ouro3.1.5 Banana-da-terra
2. Hortaliças,2.2 Hortaliças frutosas,2.2.13 Vagem,2.2.13 Vagem,True,3. Frutas,3.1 Frutas de clima tropical,3.1.11 Laranja-baía
2. Hortaliças,2.2 Hortaliças frutosas,2.2.14 Outras,2.2.14 Outras2.2.8 Maxixe2.2.3 Azeitona em conserva1.2.8 Outros feijões,True,3. Frutas,3.1 Frutas de clima tropical,3.1.12 Laranja-lima
2. Hortaliças,2.2 Hortaliças frutosas,2.3 Hortaliças tuberosas e outras,2.3 Hortaliças tuberosas e outras,False,3. Frutas,3.1 Frutas de clima tropical,3.1.13 Laranja-pêra
2. Hortaliças,2.3.1 Alho,2.3.1 Alho,2.3.1 Alho,True,3. Frutas,3.1 Frutas de clima tropical,3.1.14 Laranja-seleta
2. Hortaliças,2.3.1 Alho,2.3.2 Batata-aipo,,False,3. Frutas,3.1 Frutas de clima tropical,3.1.16 Limão comum
