0,1,2,3,4,5,6,9,10,11,18
,,,,,,,CodProd,Cod_harmo,Des_Harmo,
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,901,"AQUISIÇÃO DO IMOVEL A VISTA (VALOR PAGO, IMPOSTO DE TRANSMISSÃO, ETC.)",42001,Imovel_aquisicao,909,31007,Outros_servicos_etc,0901
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,901,IMPOSTO DE TRANSMISSÃO DO IMOVEL (AQUISIÇÃO A VISTA),42001,Imovel_aquisicao,910,31007,Outros_servicos_etc,0901
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,902,"AQUISIÇÃO DO IMOVEL A PRAZO (ENTRADA, PARCELAS, TAXAS, IMPOSTOS, ETC.)",42001,Imovel_aquisicao,911,31007,Outros_servicos_etc,0902
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,902,TAXAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001,Imovel_aquisicao,996,31007,Outros_servicos_etc,0902
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,902,IMPOSTOS PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001,Imovel_aquisicao,997,42001,Imovel_aquisicao,0902
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,902,PARCELAS PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001,Imovel_aquisicao,998,31001,Aluguel,0902
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,902,ENTRADA PARA AQUISIÇÃO DO IMOVEL A PRAZO,42001,Imovel_aquisicao,1000,42002,Imovel_reforma,0902
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,903,LOCAÇÃO DO IMOVEL,31001,Aluguel,1001,42002,Imovel_reforma,0903
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,903,CONTRATO DE LOCAÇÃO DO IMOVEL,31001,Aluguel,1002,42002,Imovel_reforma,0903
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,903,DEPOSITOS DE LOCAÇÃO DO IMOVEL,31001,Aluguel,1003,42002,Imovel_reforma,0903
1987,09,QUADRO 9 - Despesas do Domicilio Principal com Outros Serviços de Utilidade Pública e Habitação no Periodo de Referência de 6 Meses;,903,DEPOSITOS DE CONSERVAÇÃO DO IMOVEL,31001,Aluguel,1004,42002,Imovel_reforma,0903
