0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,CADASTRO DE PRODUTOS DA POF 2008-2009,,,,,,,,,,,,,
,,,( CÓDIGO = 3 DÍGITOS + 2 DÍGITOS REFERENTE AO SEQUENCIAL DO CÓDIGO ),,,,,,,,,,,,,
,,,(GRUPO = 2 DÍGITOS APENAS PARA CÓDIGOS DA CADERNETA DE DESPESA COLETIVA - POF3),,,,,,,,,,,,,
Ano,Quadro_H,Desc_Quadro,QUADRO,GRUPO,CÓDIGO,PRODUTO,7digitos,Codigo,ProcV17,zoom,ProcV02,Descrição anterior,MelhorChute,Descrição anterior,Harmo,
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00201,AGUA PARA USO GERAL,0700201,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00202,AQUISICAO DE AGUA (USO GERAL) (LITROS),0700202,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00203,PIPA DE AGUA (LITROS),0700203,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00204,GARRAFAO DE AGUA (LITROS),0700204,07002,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00301,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),0700301,07003,,32001,32001,Manutencao_do_lar,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00401,GAS DE BUJAO PARA ILUMINACAO,0700401,07004,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00402,GAS DE BUJAO (KG) (PARA ILUMINACAO),0700402,07004,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00403,GAS DE BOTIJAO (PARA ILUMINACAO),0700403,07004,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00501,QUEROSENE (COMBUSTIVEL DOMESTICO),0700501,07005,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00502,QUEROSENE (LITRO) (COMBUSTIVEL DOMESTICO),0700502,07005,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00601,PO DE SERRA (COMBUSTIVEL DOMESTICO),0700601,07006,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00602,PO DE SERRA (KG) (COMBUSTIVEL DOMESTICO),0700602,07006,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
2008,07,Quadro 7 -   Aquisição de combustíveis domésticos e outros do domicílio principal,07,,00701,ALCOOL (COMBUSTIVEL DOMESTICO),0700701,07007,,32001,,,32001,Manutencao_do_lar,32001,Manutencao_do_lar
