celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
2017:32050,38005,Outras recreacao etc,37005,Artigos escolares,form#ff378720,ARRANJO DE BOLO | ENFEITE DE BOLO
2017:32051,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,TELA PARA PINTURA
2017:32052,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,CAVALETE DE PINTURA DE TELA
2017:32053,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,CAIXA DE PRESENTE
2017:32054,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,PAPEL DE PRESENTE
2017:32071,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,EMBALAGEM PARA PRESENTE
2017:32072,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,DIARIO
2017:32074,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,NAO TECIDO | TECIDO TNT
2017:32086,40006,Outras despesas diversas,37005,Artigos escolares,form#fe3cd9e8,CRACHA
2017:41001,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALIMENTACAO | BARES | BEBIDAS | LANCHONETES | RESTAURANTES
2017:41002,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS URBANO
2017:41003,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS INTERMUNICIPAL
2017:41004,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS INTERESTADUAL
2017:41005,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS INTERNACIONAL
2017:41006,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"CAMINHAO | KOMBI | PAU-DE-ARARA | TRANSPORTE ALTERNATIVO (VAN, KOMBI, LOTADA, ETC.) | VAN"
2017:41007,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXI
2017:41008,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,MOTO-TAXI
2017:41009,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,METRO
2017:41010,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TREM
2017:41011,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"BALSA | BARCA | BARCO | FERRY-BOAT | NAVIO | TRANSPORTE AQUAVIARIO (BARCA, BALSA, NAVIO, ETC.)"
2017:41012,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIAO (VIAGEM NACIONAL)
2017:41013,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIAO (VIAGEM INTERNACIONAL)
2017:41014,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE VEICULO SEM CONDUTOR
2017:41015,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COMBUSTIVEL DE VEICULO
2017:41016,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PEDAGIO
2017:41017,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"ACAMPAMENTO | ALBERGUE | DORMITORIO | HOSPEDAGEM (HOTEL, POUSADA OU OUTRO TIPO DE ALOJAMENTO) | HOTEL | MOTEL | PENSAO | POUSADA"
2017:41018,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXCURSAO (EXCETO ESCOLAR)
