celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
1987:2918,36006,Servicos de cirurgia,36001,Remedios,,BOLSA DE AGUA QUENTE
1987:3201,38004,Diversoes e esportes,37005,Artigos escolares,,CINEMA
1987:3202,38004,Diversoes e esportes,37005,Artigos escolares,,DANÇA CLASSICA | OPERA | TEATRO
1987:3203,38004,Diversoes e esportes,37005,Artigos escolares,,FUTEBOL
1987:3204,38004,Diversoes e esportes,38003,Periodicos livros e revistas,,"BASQUETEBOL | CORRIDA AUTOMOBILISTICA | FUTEBOL DE SALÃO | TENIS (INGRESSO) | VOLEIBOL, BASQUETEBOL, ETC."
1987:3205,38004,Diversoes e esportes,38003,Periodicos livros e revistas,,"ASSOCIAÇÃO RECREATIVA | CLUBE (MENSALIDADE, TAXA) | VIDEO CLUBE (TAXA)"
1987:3209,38005,Outras recreacao etc,37005,Artigos escolares,form#049d140d,ALUGUEL DE FITAS PARA VIDEO-CASSETE E VIDEO-GAME
1987:3212,38005,Outras recreacao etc,37005,Artigos escolares,form#049d140d,PARQUE DE DIVERSÕES
1987:3213,38005,Outras recreacao etc,37005,Artigos escolares,form#049d140d,JARDIM ZOOLOGICO
1987:3611,35006,Fralda descartável infantil,33003,Roupa de crianca,form#9c2ec8a1,FRALDAS DESCARTAVEIS (CRIANÇA)
1987:4301,37001,Cursos regulares,34004,Manutencao de veiculo proprio,,"CURSO PRE-ESCOLAR | CURSO REGULAR DE 1º GRAU | CURSO REGULAR DE 1º, 2º, 3º GRAUS E PRE-ESCOLAR | CURSO REGULAR DE 2º GRAU | CURSO REGULAR DE 3º GRAU"
1987:4302,37002,Curso superior,34004,Manutencao de veiculo proprio,,"AUTO-ESCOLA | CURSO DE BALE | CURSO DE DATILOGRAFIA | CURSO DE DIREÇÃO DE VEICULOS | CURSO DE GINASTICA | CURSO DE IOGA | CURSO DE MOTORISTA | CURSO DE MUSICA | CURSO SUPLETIVO | OUTROS CURSOS (SUPLETIVO, GINASTICA, DATILOGRAFIA, ETC.)"
1987:4303,37002,Curso superior,34004,Manutencao de veiculo proprio,,AULA PARTICULAR
1987:4304,37002,Curso superior,34004,Manutencao de veiculo proprio,,CURSO EM DISCO | CURSO EM DISCO OU FITA (LINGUAFONE) | CURSO EM FITA CASSETE
1987:4305,37001,Cursos regulares,34004,Manutencao de veiculo proprio,form#6e3b27c8,TAXA DE EXAME BIOMEDICO | TAXA DE MATERIAL ESCOLAR | TAXA ESCOLAR
1987:4306,37003,Outros cursos,34004,Manutencao de veiculo proprio,form#c3652c3e,ASSINATURA DE PERIODICO TECNICO
1987:4307,37001,Cursos regulares,34004,Manutencao de veiculo proprio,,LIVRO ESCOLAR DE 1º E 2º GRAUS
1987:4308,37001,Cursos regulares,34004,Manutencao de veiculo proprio,form#d6613757,APOSTILAS | DICIONARIO | LIVRO DIDATICO | LIVRO TECNICO | LIVROS E REVISTAS TECNICAS E OUTROS LIVROS DIDATICOS | REVISTA TECNICA
1987:4313,37005,Artigos escolares,34007,Outros transporte,form#667dba4d,CADERNETA ESCOLAR | CARTEIRA DE ESTUDANTE | CERTIFICADO DE CONCLUSÃO ESCOLAR | DECLARAÇÃO ESCOLAR | DIPLOMA | DOCUMENTAÇÃO ESCOLAR (EMOLUMENTO) | EMOLUMENTO (DESPESA COM DOCUMENTAÇÃO ESCOLAR) | FICHA MODELO 18 E 19 | TAXA DE TRANSFERENCIA ESCOLAR
1987:4326,37001,Cursos regulares,37002,Curso superior,,ALIMENTAÇÃO ESCOLAR
1987:4600,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,DESPESAS COM VIAGENS
1987:4601,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS (VIAGEM)
1987:4602,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TREM (VIAGEM)
1987:4603,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIÃO
1987:4604,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,NAVIO
1987:4605,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GASTO COM COMBUSTIVEL EM VIAGEM DE AUTOMOVEL
1987:4606,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALIMENTAÇÃO (VIAGEM)
1987:4607,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,APART-HOTEL (VIAGEM) | BARRACA (VIAGEM) | CAMPING (VIAGEM) | HOSPEDAGEM (VIAGEM) | HOTEL (VIAGEM) | IGLOO (VIAGEM) | TRAILLER (VIAGEM)
1987:4608,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXCURSÕES (NÃO ESCOLAR) | GUIA TURISTICO EM EXCURSÃO | HOSPEDAGEM EM EXCURSÃO | TRANSPORTE EM EXCURSÃO
1987:4609,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ESTACIONAMENTO (VIAGEM) | GARAGEM (VIAGEM)
1987:4610,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE VEICULO (VIAGEM)
1987:4611,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXI (VIAGEM)
1987:4612,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BARCO (VIAGEM)
1987:4613,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PEDAGIO (VIAGEM)
1987:4614,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,METRO (VIAGEM)
1987:4615,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CAMINHÃO (VIAGEM) | PAU-DE-ARARA (VIAGEM)
1987:4616,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AUTOMOVEL UTILITARIO (VIAGEM)
1987:4617,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COLONIA DE FERIAS
1987:4618,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALFANDEGA (TAXA) | TAXA ALFANDEGARIA
1987:4697,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EMPRESTIMO COMPULSORIO (VIAGEM AO EXTERIOR)
1987:4698,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AGREGADO
1987:5007,34009,Estacionamento e vaga cativa de estacionamento,34004,Manutencao de veiculo proprio,form#901a97a2,VAGA DE ESTACIONAMENTO DE VEICULO | VAGAS CATIVAS DE ESTACIONAMENTO DE VEICULO
1987:5103,34008,Bicicleta,34005,Aquisicao de veiculos,form#ec4086fe,BICICLETA
1987:6305,01199,Outros,01103,Outros,,CENTEIO (EM GRÃO)
1987:6306,01104,Cevada,01103,Outros,,CEVADA (EM GRÃO)
1987:6309,01105,Trigo,01103,Outros,,QUIRERA DE TRIGO | TRIGO (EM GRÃO) | TRIGO INTEGRAL
1987:6310,01199,Outros,01103,Outros,,AMENDOIM (EM CASCA) (IN NATURA) | AMENDOIM (EM GRÃO) (IN NATURA) | MEDUBIM | MENDOBIM | MENDOIM
1987:6311,01213,Ervilha em grãos,01103,Outros,form#6cb80bc5,ERVILHA (EM GRÃO)
1987:6327,01211,Tremolo,01209,Outras,,TREMOÇO | TREMOÇO AMARELO | TREMOÇO BRANCO
1987:6329,01210,Lentilha,01209,Outras,,LENTILHA
1987:6330,01212,Soja em grão,01209,Outras,,FEIJÃO SOJA | SOJA (EM GRÃO)
1987:6332,01299,Outras,01209,Outras,,SEMENTE DE ABOBORA
1987:6335,01199,Outros,01103,Outros,,GERGELIM (GRÃO) | GERGELIM (SEMENTE) | SEMENTE DE GERGELIM
1987:6337,01199,Outros,01103,Outros,,ARROZ ESPECIAL (JAPONES) | ARROZ JAPONES (ESPECIAL)
1987:6715,12304,Melado de cana,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#adef62d8,MELADO
1987:6716,12303,Mel de abelha,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#200cea26,MEL | MEL DE ABELHA
1987:6717,12305,Gelatina,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#0abe6e37,GELATINA | GELATINA DIETETICA | GELATINA EM FOLHA | GELATINA EM PO | GELATINA PARA DIETA
1987:6751,12205,Pamonha,12204,Outros; Rapadura; Bombom; Chiclete; Chocolate em tablete,form#6cb165ee,PAMONHA
1987:706,31006,Agua e esgoto,31007,Outros servicos etc,form#48573d17,COMPRA D'AGUA | GARRAFÃO D'AGUA (ENTREGA DOMICILIAR)
1987:9320,15211,Caldo de cana,15209,Outras,form#78e2d7ab,CALDO DE CANA | GARAPA
1987:9321,15210,Agua de coco,15209,Outras,form#fe868d3f,AGUA DE COCO
1987:9337,15304,Café em grão,15303,Outros,form#c49e303a,CAFE EM GRÃO
1987:9345,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,CHOCOLATE ENGARRAFADO | CHOCOMILK (CHOCOLATE ENGARRAFADO)
1987:9601,35005,Creme dental e fio dental,35004,Produtos de uso pessoal,form#21074115,CREME DENTAL E FIO DENTAL | FIO DENTAL | PASTA DE DENTE
1995:1651,38005,Outras recreacao etc,32003,Mobiliarios e artigos do lar,,LUNETA
1995:2308,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO
1995:2309,34011,Pedagio,34007,Outros transporte,form#2897ccc6,PEDAGIO
1995:2312,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO-METRÔ
1995:2313,34010,Oleo diesel,34007,Outros transporte,form#02958fec,ÓLEO DIESEL
1995:2430,12205,Pamonha,16104,Refeição; Refeição pronta,form#6cb165ee,PAMONHA
1995:2439,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,TODDYNHO
1995:2935,36009,Material de tratamento,36001,Remedios,,SORO FISIOLÓGICO HIDRATANTE
1995:2959,35004,Produtos de uso pessoal,36009,Material de tratamento,,COREGA
1995:2974,36009,Material de tratamento,36001,Remedios,,COLÍRIO
1995:3611,35006,Fralda descartável infantil,33003,Roupa de crianca,form#9c2ec8a1,FRALDA DESCARTÁVEL (CRIANÇA)
1995:4100,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,DESPESAS COM VIAGENS
1995:4101,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ÔNIBUS URBANO (VIAGEM)
1995:4102,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TREM (VIAGEM)
1995:4103,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIÃO (VIAGEM)
1995:4104,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,NAVIO (VIAGEM)
1995:4105,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CONBUSTÍVEL DE VEÍCULO (VIAGEM)
1995:4106,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALIMENTAÇÃO (VIAGEM)
1995:4107,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,HOSPEDAGEM (VIAGEM)
1995:4108,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXCURSÃO (EXCETO ESCOLAR).(VIAGEM)
1995:4109,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GARAGEM (VIAGEM)
1995:4110,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE VEÍCULO (VIAGEM)
1995:4111,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXI (VIAGEM)
1995:4112,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BARCO (VIAGEM)
1995:4113,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PEDAGIO (VIAGEM)
1995:4114,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,METRO (VIAGEM)
1995:4115,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CAMINHÃO (VIAGEM)
1995:4116,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AUTOMÓVEL UTILITARIO (VIAGEM)
1995:4117,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COLONIA DE FÉRIAS (VIAGEM)
1995:4118,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXA ALFANDEGARIA (VIAGEM)
1995:4119,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GUARDA-VOLUMES (VIAGEM)
1995:4120,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ÔNIBUS-INTERMUNICIPAL (VIAGEM)
1995:4121,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ÔNIBUS-INTERNACIONAL (VIAGEM)
1995:4122,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ÔNIBUS-INTERESTADUAL (VIAGEM)
1995:4123,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,FERRY-BOAT (VIAGEM)
1995:4124,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CARREGADOR DE BAGAGEM (VIAGEM)
1995:4198,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AGREGADO 26
1995:4314,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,ESTOPA
1995:4315,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,SHAMPU (VEÍCULO)
1995:4316,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,LIMPA-PARA-BRISA
1995:4321,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,CARGA DE BATERIA
1995:4322,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,GAS DE AR CONDICIONADO (VEÍCULO)
1995:4323,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,LIXA DE FERRO (VEÍCULO)
1995:4324,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,TELEVISÃO (VEÍCULO)
1995:4325,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,CAROCERIA DE CAMIONETA
1995:4326,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,SOLVENTE (VEÍCULO)
1995:4334,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,CD PLAYER PARA VEICULO
1995:4335,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#15b908d6,CONSERTO DE AMPLIFICADOR DE SOM (VEÍCULO)
1995:5007,34009,Estacionamento e vaga cativa de estacionamento,34004,Manutencao de veiculo proprio,form#901a97a2,VAGA CATIVA DE ESTACIONAMENTO
1995:5103,34008,Bicicleta,34005,Aquisicao de veiculos,form#ec4086fe,BICICLETA
1995:5304,44002,Empregador,44001,Empregado,form#6fbc8bd5,EMPREGADOR
1995:6305,01199,Outros,01103,Outros,,CENTEIO EM GRÃO
1995:6306,01104,Cevada,01103,Outros,,CEVADA EM GRÃO
1995:6309,01105,Trigo,01103,Outros,,TRIGO EM GRÃO
1995:6310,01199,Outros,01103,Outros,,AMENDOIM EM GRÃO (IN NATURA)
1995:6311,01213,Ervilha em grãos,01103,Outros,form#6cb80bc5,ERVILHA EM GRÃO
1995:6327,01211,Tremolo,01209,Outras,,TREMOÇO
1995:6329,01210,Lentilha,01209,Outras,,LENTILHA
1995:6330,01212,Soja em grão,01209,Outras,,SOJA EM GRÃO
1995:6332,01299,Outras,01209,Outras,,SEMENTE DE ABÓBORA
1995:6335,01199,Outros,01103,Outros,,SEMENTE DE GERGELIM
1995:6337,01199,Outros,01103,Outros,,ARROZ ESPECIAL (JAPONÊS)
1995:6715,12304,Melado de cana,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#adef62d8,MELADO
1995:6716,12303,Mel de abelha,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#200cea26,MEL DE ABELHA
1995:6717,12305,Gelatina,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#0abe6e37,GELATINA
1995:6751,12205,Pamonha,12204,Outros; Rapadura; Bombom; Chiclete; Chocolate em tablete,form#6cb165ee,PAMONHA
1995:706,31006,Agua e esgoto,31007,Outros servicos etc,form#48573d17,AQUISIÇÃO D´ÁGUA (DOMICÍLIO PRINCIPAL)
1995:715,38002,Celular e acessorios,31004,Telefone celular,form#50f9116d;form#cfd0e5d6,TELEFONE MÓVEL OU CELULAR (DOMICÍLIO PRINCIPAL)
1995:900,32005,Consertos de artigos do lar,31007,Outros servicos etc,form#0574d67e,"DESPESA COM CONSERTO E MANUTENÇÃO DE MOVEIS, APARELHOS, MAQUINAS E UTENSÍLIOS DOMESTICOS"
1995:903,32005,Consertos de artigos do lar,31001,Aluguel,form#aa83c80f,CONSERTO DE ASPIRADOR DE PÓ (PEÇA+MÃO-DE-OBRA)
1995:906,32005,Consertos de artigos do lar,31007,Outros servicos etc,form#0574d67e,MANUTENÇÃO DE APARELHOS DOMÉSTICOS
1995:907,32005,Consertos de artigos do lar,31007,Outros servicos etc,form#0574d67e,CONSERTO DE MOTO-BOMBA (PEÇA+MÃO-DE-OBRA)
1995:908,32005,Consertos de artigos do lar,31007,Outros servicos etc,form#0574d67e,CONSERTO DE FERRO ELÉTRICO (PEÇA+MÃO-DE-OBRA)
1995:910,32005,Consertos de artigos do lar,31007,Outros servicos etc,form#0574d67e,CONSERTO DE FERRO ELÉTRICO (PEÇA)
1995:9320,15211,Caldo de cana,15209,Outras,form#78e2d7ab,CALDO DE CANA
1995:9321,15210,Agua de coco,15209,Outras,form#fe868d3f,AGUA DE COCO
1995:9337,15304,Café em grão,15303,Outros,form#c49e303a,CAFÉ EM GRÃO
1995:9345,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,CHOCOLATE ENGARRAFADO OU ENCARTONADO
1995:9601,35005,Creme dental e fio dental,35004,Produtos de uso pessoal,form#21074115,CREME DENTAL E FIO DENTAL
2002:15034,38006,Gastos com viagens,32004,Eletrodomesticos,,AMPLIFICADOR
2002:15037,38006,Gastos com viagens,32004,Eletrodomesticos,,VIDEO GAME E ACESSORIOS | VIDEOGAME E ACESSORIOS
2002:15054,38006,Gastos com viagens,32004,Eletrodomesticos,,KARAOKE | VIDEOKE
2002:23008,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO | ESTACIONAMENTO SHOPPING | FLANELINHA
2002:23009,34011,Pedagio,34007,Outros transporte,form#2897ccc6,PEDAGIO
2002:23012,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,ESTACIONAMENTO-METRO
2002:23013,34010,Oleo diesel,34007,Outros transporte,form#02958fec,OLEO DIESEL
2002:23018,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,BUJAO DE GAS COMUM | GAS VEICULAR
2002:23031,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIAO
2002:24030,12205,Pamonha,16103,Outros produtos,form#6cb165ee,PAMONHA
2002:28055,31003,Telefonia,31004,Telefone celular,form#50f9116d;form#ae21f45e,CARTAO DE TELEFONE CELULAR | TELEFONE CELULAR | TELEFONE MOVEL
2002:29035,36009,Material de tratamento,36001,Remedios,,HIDRAFIX | SORO FISIOLOGICO HIDRATANTE
2002:29059,35004,Produtos de uso pessoal,36009,Material de tratamento,,COREGA | FIXADOR DE DENTADURA
2002:29074,36009,Material de tratamento,36001,Remedios,,COLIRIO | OFTALMOLOGICO | OFTALMOLOGICOS | SOLUCAO OFTALMICA (PARA A VISTA)
2002:31025,32005,Consertos de artigos do lar,39005,Outras servicos pessoais,,VIDRACEIRO
2002:36011,35006,Fralda descartável infantil,33003,Roupa de crianca,form#9c2ec8a1,FRALDA DESCARTAVEL | FRALDA DESCARTAVEL (CRIANCA)
2002:41001,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS URBANO | ONIBUS URBANO (VIAGEM)
2002:41002,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TREM | TREM (VIAGEM)
2002:41003,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AVIAO | AVIAO (VIAGEM)
2002:41004,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,NAVIO | NAVIO (VIAGEM)
2002:41005,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COMBUSTIVEL DE VEICULO | COMBUSTIVEL DE VEICULO (VIAGEM)
2002:41007,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,APART-HOTEL (VIAGEM) | BARRACA (VIAGEM) | CAMPING (VIAGEM) | HOSPEDAGEM | HOSPEDAGEM (VIAGEM) | HOTEL (VIAGEM) | IGLOO (VIAGEM) | TRAILLER (VIAGEM)
2002:41008,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXCURSAO (EXCETO ESCOLAR) (VIAGEM)
2002:41009,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ESTACIONAMENTO (VIAGEM) | GARAGEM (VIAGEM)
2002:41010,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALUGUEL DE VEICULO | ALUGUEL DE VEICULO (VIAGEM)
2002:41011,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXI | TAXI (VIAGEM)
2002:41012,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BARCO | BARCO (VIAGEM)
2002:41013,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PEDAGIO | PEDAGIO (VIAGEM)
2002:41014,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,METRO (VIAGEM)
2002:41015,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CAMINHAO (VIAGEM) | PAU-DE-ARARA (VIAJEM)
2002:41016,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AUTOMOVEL UTILITARIO (VIAGEM) | KOMBI (VIAGEM)
2002:41017,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COLONIA DE FERIAS (VIAGEM)
2002:41018,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ALFANDEGA (TAXA) (VIAGEM) | TAXA ALFANDEGARIA (VIAGEM)
2002:41019,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GUARDA-VOLUMES (VIAGEM)
2002:41020,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS INTERMUNICIPAL | ONIBUS INTERMUNICIPAL (VIAGEM)
2002:41021,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS INTERNACIONAL | ONIBUS INTERNACIONAL (VIAGEM)
2002:41022,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ONIBUS INTERESTADUAL | ONIBUS INTERESTADUAL (VIAGEM)
2002:41023,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,FERRY-BOAT (VIAGEM)
2002:41024,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CARREGADOR DE BAGAGEM (VIAGEM)
2002:41025,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BALSA
2002:41026,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GUIA TURISTICO
2002:41098,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,AGREGADO
2002:43009,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,RADIO
2002:43010,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,RADIO TOCA-FITAS | TOCA-FITAS
2002:43011,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,AR CONDICIONADO
2002:43013,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,GUINCHO (REBOQUE) | REBOQUE
2002:43024,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,TELEVISAO
2002:43025,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,CARROCERIA DE CAMIONETA
2002:43027,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,CONVERSAO DE MOTOR P GAS | MOTOR DE AUTOMOVEL
2002:43029,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,AMPLIFICADOR
2002:43034,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,CD PLAYER | COMPACT DISC PLAYER
2002:43035,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,CADEIRINHA INFANTIL PARA CARRO | RADIO COM CD
2002:43036,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,TRANSPORTE DE VEICULOS
2002:43037,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,INSULFILM
2002:49011,37001,Cursos regulares,37003,Outros cursos,,CRECHE
2002:49022,37002,Curso superior,37003,Outros cursos,form#39bd9519,CURSO DE ESPECIALIZACAO (MESTRADO) | CURSO DE MESTRADO | CURSO DE POS-GRADUACAO (MESTRADO) | ESPECIALIZACAO (MESTRADO) | MESTRADO (CURSO) | POS-GRADUACAO (MESTRADO)
2002:49041,37002,Curso superior,37003,Outros cursos,form#39bd9519,CURSO DE DOUTORADO | CURSO DE ESPECIALIZACAO (DOUTORADO) | CURSO DE POS-GRADUACAO (DOUTORADO) | DOUTORADO (CURSO) | ESPECIALIZACAO (DOUTORADO) | POS-GRADUACAO (DOUTORADO)
2002:50005,34004,Manutencao de veiculo proprio,34007,Outros transporte,form#3c850232,ASSISTENCIA AUTOMOBILISTICA | ASSISTENCIA AUTOMOBILISTICA (MENSALIDADE E TAXA) | ASSOCIACAO DE ASSISTENCIA AUTOMOBILISTICA (MENSALIDADE E TAXA)
2002:50007,34009,Estacionamento e vaga cativa de estacionamento,34007,Outros transporte,form#901a97a2,VAGA CATIVA DE ESTACIONAMENTO | VAGA DE ESTACIONAMENTO DE VEICULO
2002:51003,34008,Bicicleta,34005,Aquisicao de veiculos,form#ec4086fe,BICICLETA
2002:63006,01104,Cevada,01103,Outros,,CEVADA (EM GRAO)
2002:63009,01105,Trigo,01103,Outros,,MASSA DE TRIGO | QUIRERA DE TRIGO | TRIGO (EM GRAO) | TRIGO INTEGRAL
2002:63010,01199,Outros,01103,Outros,,AMENDOIM | AMENDOIM (EM CASCA) (IN NATURA) | AMENDOIM (EM GRAO) (IN NATURA) | MEDUBIM | MENDOBIM | MENDOIM
2002:63011,01213,Ervilha em grãos,01103,Outros,form#6cb80bc5,ERVILHA (EM GRAO)
2002:63012,01208,Outros feijões,01103,Outros,,FAVA (EM GRAO) | FAVA DE LIMA (EM GRAO) | FEIJAO FAVA (EM GRAO) | FEIJOA (EM GRAO) | MANGALO AMARGO (EM GRAO)
2002:63027,01211,Tremolo,01103,Outros,,TREMOCO | TREMOCO AMARELO | TREMOCO BRANCO
2002:63028,01209,Grão de bico,01103,Outros,,GRAO DE BICO
2002:63029,01210,Lentilha,01103,Outros,,LENTILHA
2002:63030,01212,Soja em grão,01103,Outros,,FEIJAO SOJA | SOJA (EM GRAO)
2002:63032,01199,Outros,01103,Outros,,SEMENTE DE ABOBORA
2002:63034,16016,Outros,01103,Outros,,SEMENTE DE LINHACA
2002:67015,12304,Melado de cana,12103,Outros,form#adef62d8,MELADO | MELADO DE CANA
2002:67016,12303,Mel de abelha,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#200cea26,MEL | MEL COM ALHO | MEL COM PROPOLIS | MEL COMPOSTO | MEL DE ABELHA | MEL DE ENGENHO | MEL DE ROMA
2002:67017,12305,Gelatina,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#0abe6e37,GELATINA | GELATINA DE DIETA | GELATINA DIETETICA | GELATINA EM FOLHA | GELATINA EM PO
2002:67051,12205,Pamonha,12202,Doce de fruta,form#6cb165ee,PAMONHA
2002:8081,40003,Cerimonias e festas,32001,Manutencao do lar,form#470a34da,EXUMACAO
2002:8082,40003,Cerimonias e festas,32001,Manutencao do lar,form#470a34da,PLACA DE JAZIGO
